,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,contract_expiration_date,market_value_in_eur
103,Illan Meslier,Leeds United,22,00,34.0,67,1.97,158,92,59.5,5,14.7,Premier League,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,30,3,Goalkeeper,63.9,16770,10937,97.3,98.6,31.0,0,0.0,0.0,0.0,0,13,1,0,0,0.88,43,67,-24,-0.71,+0.79,42.7,57.9,-15.2,-0.45,+0.72,illan-meslier00,France,Goalkeeper,left,197.0,6/30/26 0:00,22000000
104,Keylor Navas,Nott'ham Forest,35,86,17.0,32,1.88,83,51,66.3,1,5.9,Premier League,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,2,Goalkeeper,57.3,10310,8282,100.0,99.3,38.8,0,0.0,0.0,0.0,0,7,0,0,1,0.94,21,32,-11,-0.65,+0.26,15.8,32.4,-16.6,-0.98,-0.58,keylor-navas86,Costa Rica,Goalkeeper,right,185.0,6/30/23 0:00,5000000
105,Neto,Bournemouth,33,89,26.5,39,1.47,138,100,74.6,6,22.2,Premier League,3,1,3,0,0,3,3,100.0,0,0,0,0,0,3,10,3,Goalkeeper,62.5,15893,12592,98.2,96.5,41.1,0,0.0,0.0,0.0,0,14,2,0,0,1.22,27,39,-12,-0.45,+1.46,30.7,44.0,-13.4,-0.51,+0.53,neto89,Brazil,Goalkeeper,right,190.0,6/30/26 0:00,2500000
106,Robin Olsen,Aston Villa,32,90,3.1,8,2.56,19,11,63.2,1,50.0,Premier League,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Goalkeeper,56.5,2049,1522,94.4,100.0,33.8,0,0.0,0.0,0.0,0,2,0,0,0,1.00,4,8,-4,-1.28,-1.54,3.7,8.6,-4.9,-1.56,-1.64,robin-olsen90,Sweden,Goalkeeper,right,196.0,,2000000
107,Stefan Ortega,Manchester City,29,92,3.0,1,0.33,15,14,93.3,2,66.7,Premier League,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,86.8,3008,1895,98.3,98.4,58.7,0,0.0,0.0,0.0,0,1,0,0,0,2.33,5,1,+4,+1.33,-0.30,5.3,3.9,+1.4,+0.48,-0.81,stefan-ortega92,Germany,Goalkeeper,right,185.0,6/30/25 0:00,6000000
108,Jordan Pickford,Everton,28,94,37.0,57,1.54,181,123,71.3,8,21.6,Premier League,0,0,0,0,0,0,1,0.0,1,0,0,0,4,4,15,3,Goalkeeper,57.1,25114,19603,99.4,98.0,38.3,1,0.1,0.4,+0.9,2,57,1,0,2,0.89,33,57,-24,-0.65,-1.65,44.8,64.7,-19.9,-0.54,+0.14,jordan-pickford94,England,Goalkeeper,left,185.0,6/30/27 0:00,25000000
109,Nick Pope,Newcastle Utd,30,92,36.2,32,0.88,118,85,74.6,14,37.8,Premier League,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,27,2,Goalkeeper,69.0,17068,11723,99.2,97.2,44.4,0,0.1,0.0,-0.1,2,13,0,0,1,1.89,67,32,+35,+0.97,+0.97,68.5,36.4,+32.1,+0.89,+0.71,nick-pope92,England,Goalkeeper,right,198.0,6/30/26 0:00,18000000
110,Aaron Ramsdale,Arsenal,24,98,38.0,43,1.13,136,94,70.6,14,36.8,Premier League,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,20,6,Goalkeeper,68.5,18974,13109,96.9,98.2,35.8,0,0.0,0.0,0.0,0,30,2,0,8,2.21,88,43,+45,+1.18,,71.9,42.0,+29.9,+0.79,,aaron-ramsdale98,England,Goalkeeper,right,190.0,6/30/25 0:00,38000000
111,David Raya,Brentford,26,95,38.0,46,1.21,197,154,77.7,12,31.6,Premier League,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,10,3,Goalkeeper,64.3,34961,26954,97.0,97.9,44.7,0,0.1,0.2,-0.1,2,75,3,0,13,1.55,58,46,+12,+0.32,,56.7,49.9,+6.8,+0.18,,david-raya95,Spain,Goalkeeper,right,183.0,6/30/24 0:00,25000000
112,Joel Robles,Leeds United,32,90,4.0,11,2.75,27,16,66.7,0,0.0,Premier League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1,Goalkeeper,51.6,2048,1611,100.0,96.3,34.8,0,0.0,0.0,0.0,0,2,0,0,0,0.25,5,11,-6,-1.50,-0.79,4.6,9.3,-4.7,-1.17,-0.72,joel-robles90,Spain,Goalkeeper,right,197.0,6/30/23 0:00,1200000
113,Marek Rodák,Fulham,25,96,2.0,2,1.00,4,2,50.0,1,50.0,Premier League,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Goalkeeper,47.5,1170,1037,100.0,88.9,35.4,0,0.0,0.0,0.0,0,0,0,0,0,1.00,2,2,0,0.00,-0.06,2.7,2.1,+0.6,+0.30,+0.81,marek-rodak96,Slovakia,Goalkeeper,right,194.0,6/30/24 0:00,3500000
114,José Sá,Wolves,29,93,36.0,55,1.53,161,105,67.1,11,30.6,Premier League,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,10,6,Goalkeeper,69.8,20499,13561,98.5,97.2,34.9,0,0.0,0.0,0.0,0,10,0,0,0,1.11,30,55,-25,-0.69,+0.31,34.9,54.7,-19.8,-0.55,+1.07,jose-sa93,Portugal,Goalkeeper,right,192.0,6/30/26 0:00,18000000
115,Robert Sánchez,Brighton,24,97,23.0,30,1.30,74,46,66.2,6,26.1,Premier League,1,0,1,0,0,0,0,,0,0,0,0,3,4,9,2,Goalkeeper,77.3,13655,8845,99.5,96.9,41.1,0,0.0,0.0,0.0,0,11,0,0,0,1.65,41,30,+11,+0.48,-0.06,38.9,27.0,+11.9,+0.52,-0.24,robert-sanchez97,Spain,Goalkeeper,right,197.0,6/30/25 0:00,32000000
116,Jason Steele,Brighton,31,90,15.0,23,1.53,57,36,61.4,6,40.0,Premier League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Goalkeeper,88.4,9705,6922,98.4,97.3,61.5,1,0.1,0.2,+0.9,1,2,0,0,0,1.60,31,23,+8,+0.53,+0.06,34.4,23.1,+11.3,+0.75,+0.24,jason-steele90,England,Goalkeeper,right,188.0,6/30/25 0:00,1000000
117,Mark Travers,Bournemouth,23,99,11.5,32,2.78,66,36,54.5,2,18.2,Premier League,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0,Goalkeeper,76.4,7963,5655,100.0,99.0,48.8,0,0.0,0.0,0.0,0,5,0,0,0,0.50,10,32,-22,-1.91,-1.46,7.9,19.8,-11.9,-1.03,-0.53,mark-travers99,Ireland,Goalkeeper,right,191.0,6/30/27 0:00,2000000
118,Danny Ward,Leicester City,29,93,26.0,46,1.77,119,75,63.0,6,23.1,Premier League,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,14,2,Goalkeeper,74.9,16865,10488,99.0,99.2,41.3,0,0.0,0.0,0.0,0,7,0,0,0,0.92,37,46,-9,-0.35,+0.32,32.9,43.1,-10.1,-0.39,-0.17,danny-ward93,Wales,Goalkeeper,right,191.0,6/30/25 0:00,8000000
