,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,contract_expiration_date,market_value_in_eur
148,Pepe Reina,Villarreal,39,82,22.0,27,1.23,87,61,73.6,5,22.7,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,4,Goalkeeper,80.1,16159,10999,97.9,98.8,47.2,0,0.7,0.0,-0.7,1,5,0,0,0,1.91,42,27,+15,+0.68,+0.43,42.1,33.0,+9.1,+0.41,+0.24,pepe-reina82,Spain,Goalkeeper,right,188.0,6/30/23 0:00,700000
149,Álex Remiro,Real Sociedad,27,95,38.0,35,0.92,133,99,74.4,15,39.5,La Liga,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,17,3,Goalkeeper,71.7,28583,21541,99.3,96.5,50.7,0,0.0,0.1,0.0,1,28,0,0,1,1.87,51,35,+16,+0.42,,52.9,33.0,+19.8,+0.52,,alex-remiro95,Spain,Goalkeeper,right,191.0,6/30/27 0:00,25000000
150,Leonardo Román,Mallorca,22,00,1.0,0,0.00,4,4,100.0,1,100.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,69.0,846,648,100.0,100.0,45.8,0,0.0,0.0,0.0,0,0,0,0,0,3.00,3,0,+3,+3.00,+3.24,2.2,1.1,+1.1,+1.12,+1.45,leonardo-roman00,Spain,Goalkeeper,right,189.0,6/30/26 0:00,300000
151,Rui Silva,Betis,28,94,26.0,32,1.23,104,73,71.2,9,34.6,La Liga,4,1,4,0,0,4,4,100.0,0,0,0,0,0,4,12,1,Goalkeeper,66.9,18170,13730,99.0,96.9,46.7,0,0.0,0.2,0.0,0,14,1,0,0,1.54,33,32,+1,+0.04,-0.29,34.5,35.1,-0.6,-0.02,-0.18,rui-silva94,Portugal,Goalkeeper,left,191.0,6/30/26 0:00,15000000
152,Unai Simón,Athletic Club,25,97,30.5,37,1.21,104,70,67.3,9,29.0,La Liga,2,0,2,0,0,1,1,100.0,0,1,0,1,0,2,9,3,Goalkeeper,72.6,19697,14574,98.9,97.5,46.2,0,0.0,0.0,0.0,0,18,0,0,2,1.45,42,37,+5,+0.16,+0.30,44.0,29.9,+14.1,+0.46,+0.03,unai-simon97,Spain,Goalkeeper,right,190.0,6/30/25 0:00,25000000
153,David Soria,Getafe,29,93,38.0,45,1.18,166,119,75.3,13,34.2,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,20,4,Goalkeeper,53.7,28998,25913,93.3,94.4,47.6,0,0.2,0.2,-0.2,4,57,3,0,1,1.11,34,45,-11,-0.29,,36.7,46.0,-9.4,-0.25,,david-soria93,Spain,Goalkeeper,right,192.0,6/30/23 0:00,10000000
154,Marc-André ter Stegen,Barcelona,30,92,37.2,18,0.48,98,83,84.7,26,68.4,La Liga,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,3,Goalkeeper,84.5,30703,21527,98.3,97.9,64.2,0,0.3,0.0,-0.3,3,15,0,0,4,2.32,68,18,+50,+1.34,+1.34,74.3,31.7,+42.5,+1.14,+1.43,marc-andre-ter-stegen92,Germany,Goalkeeper,right,187.0,6/30/25 0:00,40000000
155,Iván Villar,Celta Vigo,25,97,19.0,24,1.26,62,38,66.1,4,21.1,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Goalkeeper,69.1,11814,8420,97.0,97.4,41.8,0,0.0,0.0,0.0,1,6,0,0,1,1.21,25,24,+1,+0.05,+0.63,21.4,25.8,-4.4,-0.23,-0.31,ivan-villar97,Spain,Goalkeeper,right,186.0,6/30/23 0:00,1200000
156,Axel Werner,Elche,26,96,2.0,4,2.00,8,4,50.0,0,0.0,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,74.3,1421,813,100.0,97.1,46.7,0,0.0,0.0,0.0,0,1,0,0,0,0.00,1,4,-3,-1.50,-0.56,1.7,3.0,-1.3,-0.66,+0.21,axel-werner96,Argentina,Goalkeeper,right,191.0,6/30/23 0:00,800000
157,Denis Adamov,Sochi,24,98,16.7,29,1.74,76,50,63.2,2,12.5,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.29,21,30,-9,-0.54,+0.06,,,,,,denis-adamov98,Russia,Goalkeeper,right,194.0,6/30/24 0:00,800000
158,Stanislav Agkatsev,Krasnodar,20,02,3.0,3,1.00,10,8,70.0,2,66.7,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.33,5,3,+2,+0.67,+0.15,,,,,,stanislav-agkatsev02,Russia,Goalkeeper,right,189.0,6/30/25 0:00,600000
159,Igor Akinfeev,CSKA Moscow,36,86,29.0,27,0.93,79,57,69.6,10,34.5,Premier Liga,,1,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,1,,,,,,,,,1.90,53,27,+26,+0.90,-2.10,,,,,,igor-akinfeev86,UdSSR,Goalkeeper,right,186.0,6/30/24 0:00,2000000
160,Nikita Alekseev,Ural,20,02,1.0,0,0.00,0,1,,1,100.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,3.00,2,0,+2,+2.00,+2.48,,,,,,nikita-alekseev02,Russia,Goalkeeper,right,194.0,6/30/23 0:00,100000
161,Yegor Baburin,Torpedo Moscow,28,93,21.0,47,2.24,129,94,69.8,4,19.0,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.52,15,47,-32,-1.52,-0.75,,,,,,yegor-baburin93,Ukraine,Goalkeeper,right,191.0,6/30/23 0:00,500000
162,Vitalii Botnar,Torpedo Moscow,21,01,3.3,7,2.11,23,16,69.6,0,0.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.25,3,7,-4,-1.21,+0.10,,,,,,vitalii-botnar01,Moldova,Goalkeeper,left,187.0,6/30/24 0:00,500000
163,Aleksandr Dovbnya,Torpedo Moscow,35,87,5.7,8,1.41,38,30,78.9,0,0.0,Premier Liga,,1,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.17,2,8,-6,-1.05,+0.30,,,,,,aleksandr-dovbnya87,UdSSR,Goalkeeper,right,193.0,6/30/23 0:00,100000
164,Soslan Dzhanayev,Sochi,35,87,8.3,19,2.30,40,23,57.5,3,33.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.44,10,19,-9,-1.09,-0.72,,,,,,soslan-dzhanayev87,UdSSR,Goalkeeper,right,188.0,6/30/23 0:00,500000
165,Evgenii Frolov,Samara,34,88,2.8,2,0.72,9,8,77.8,2,100.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.00,5,2,+3,+1.08,+1.67,,,,,,evgenii-frolov88,UdSSR,Goalkeeper,right,194.0,6/30/24 0:00,200000
166,Nikita Goilo,Nizhny Novgorod,23,98,11.0,18,1.64,56,41,73.2,2,18.2,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.00,11,18,-7,-0.64,-0.11,,,,,,nikita-goilo98,Russia,Goalkeeper,right,189.0,6/30/23 0:00,600000
167,Aleksei Gorodovoy,Fakel Voronezh,28,93,6.0,13,2.17,33,21,63.6,0,0.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.50,9,13,-4,-0.67,-0.33,,,,,,aleksei-gorodovoy93,Russia,Goalkeeper,both,192.0,6/30/23 0:00,400000
168,Yevgeni Goshev,Orenburg,25,97,8.5,18,2.11,44,30,65.9,2,25.0,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.20,15,21,-6,-0.70,-1.12,,,,,,yevgeni-goshev97,Russia,Goalkeeper,right,197.0,6/30/23 0:00,400000
169,Vitali Gudiyev,FC Khimki,27,95,7.5,22,2.93,52,31,59.6,1,14.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.25,5,22,-17,-2.27,-1.16,,,,,,vitali-gudiyev95,Russia,Goalkeeper,left,192.0,6/30/23 0:00,600000
170,Aleksei Kenyaikin,Orenburg,23,98,10.5,20,1.91,50,30,60.0,2,18.2,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.00,25,20,+5,+0.48,+0.58,,,,,,aleksei-kenyaikin98,Russia,Goalkeeper,right,199.0,6/30/23 0:00,800000
171,Mikhail Kerzhakov,Zenit,35,87,23.5,16,0.68,54,41,75.9,12,52.2,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.42,61,16,+45,+1.91,+0.52,,,,,,mikhail-kerzhakov87,UdSSR,Goalkeeper,right,191.0,6/30/23 0:00,500000
172,Igor Leshchuk,Dynamo Mosc,26,96,6.0,11,1.83,30,19,63.3,2,33.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.00,7,11,-4,-0.67,-1.00,,,,,,igor-leshchuk96,Russia,Goalkeeper,left,187.0,6/30/25 0:00,600000
173,Ivan Lomaev,Samara,23,99,21.2,35,1.65,87,59,65.5,4,18.2,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.91,18,35,-17,-0.80,-1.26,,,,,,ivan-lomaev99,Russia,Goalkeeper,right,190.0,6/30/25 0:00,1500000
174,Aleksandr Maksimenko,Spartak Moscow,24,98,3.0,4,1.33,18,14,77.8,0,0.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.00,5,4,+1,+0.33,-0.44,,,,,,aleksandr-maksimenko98,Russia,Goalkeeper,left,187.0,6/30/25 0:00,2000000
175,Anton Mitryushkin,FC Khimki,26,96,9.0,20,2.22,61,44,72.1,1,11.1,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.56,6,20,-14,-1.56,-0.22,,,,,,anton-mitryushkin96,Russia,Goalkeeper,right,186.0,6/30/24 0:00,300000
176,Artur Nigmatullin,Nizhny Novgorod,31,91,19.0,30,1.58,82,57,69.5,5,26.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.00,23,30,-7,-0.37,+0.54,,,,,,artur-nigmatullin91,UdSSR,Goalkeeper,right,194.0,6/30/24 0:00,600000
177,Daniil Odoevski,Zenit,19,03,3.4,1,0.29,6,5,83.3,3,75.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,2.00,9,1,+8,+2.32,+0.59,,,,,,daniil-odoevski03,Russia,Goalkeeper,right,190.0,6/30/24 0:00,1200000
178,Mikhail Oparin,Akhmat Grozny,29,93,0.8,2,2.43,6,4,66.7,0,0.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,2,2,0,0.00,-0.41,,,,,,mikhail-oparin93,Russia,Goalkeeper,left,191.0,6/30/24 0:00,400000
179,Bogdan Ovsyannikov,Samara,23,99,6.0,8,1.33,20,15,75.0,2,33.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.50,9,8,+1,+0.17,+0.75,,,,,,bogdan-ovsyannikov99,Russia,Goalkeeper,right,189.0,6/30/25 0:00,600000
180,Sergei Pesyakov,Rostov,33,88,30.0,44,1.47,142,102,73.2,5,16.7,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.77,48,44,+4,+0.13,,,,,,,sergei-pesyakov88,UdSSR,Goalkeeper,right,199.0,6/30/24 0:00,800000
181,Ilya Pomazun,Ural,25,96,29.0,45,1.55,128,90,71.1,6,20.7,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.14,31,45,-14,-0.48,-2.48,,,,,,ilya-pomazun96,Russia,Goalkeeper,right,195.0,6/30/23 0:00,1800000
182,Matvei Safonov,Krasnodar,23,99,27.0,43,1.59,136,101,74.3,7,25.9,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.63,57,43,+14,+0.52,-0.15,,,,,,matvei-safonov99,Russia,Goalkeeper,right,192.0,6/30/26 0:00,15000000
183,Aleksandr Selikhov,Spartak Moscow,28,94,27.0,34,1.26,100,70,70.0,7,25.9,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.89,55,34,+21,+0.78,+0.44,,,,,,aleksandr-selikhov94,Russia,Goalkeeper,right,190.0,6/30/25 0:00,2800000
184,Giorgi Shelia,Akhmat Grozny,33,88,28.5,36,1.26,114,80,70.2,8,27.6,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.72,49,36,+13,+0.46,+1.12,,,,,,giorgi-shelia88,UdSSR,Goalkeeper,left,190.0,6/30/23 0:00,500000
185,Anton Shunin,Dynamo Mosc,35,87,24.0,34,1.42,100,72,72.0,6,25.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.63,42,34,+8,+0.33,+1.00,,,,,,anton-shunin87,UdSSR,Goalkeeper,left,193.0,6/30/24 0:00,900000
186,Ilja Svinov,Fakel Voronezh,21,00,24.0,35,1.46,86,59,67.4,7,29.2,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.13,27,35,-8,-0.33,+0.33,,,,,,ilja-svinov00,Russia,Goalkeeper,right,190.0,6/30/23 0:00,600000
187,Nikolai Sysuyev,Orenburg,23,99,11.0,17,1.55,45,29,64.4,3,27.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.36,19,17,+2,+0.18,+0.13,,,,,,nikolai-sysuyev99,Russia,Goalkeeper,right,190.0,5/31/24 0:00,400000
188,Vladislav Torop,CSKA Moscow,18,03,1.0,0,0.00,1,1,100.0,1,100.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,3.00,3,0,+3,+3.00,+2.10,,,,,,vladislav-torop03,Russia,Goalkeeper,left,189.0,6/30/26 0:00,500000
189,Aleksandr Vasyutin,Zenit,27,95,3.0,3,1.00,11,8,72.7,1,33.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.67,4,3,+1,+0.33,-1.63,,,,,,aleksandr-vasyutin95,Russia,Goalkeeper,right,190.0,6/30/23 0:00,400000
190,Nikolai Zabolotny,Sochi,32,90,5.0,5,1.00,18,14,77.8,1,20.0,Premier Liga,,0,,,,,,,,,,,1,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.20,6,5,+1,+0.20,+0.92,,,,,,nikolai-zabolotny90,UdSSR,Goalkeeper,right,184.0,6/30/23 0:00,400000
191,Doğan Alemdar,Rennes,19,02,4.5,8,1.77,16,7,56.3,1,25.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Goalkeeper,65.5,2786,2199,100.0,100.0,36.4,0,0.1,0.0,-0.1,1,2,0,0,0,1.67,7,8,-1,-0.22,-1.15,6.1,6.1,+0.1,+0.01,-0.50,dogan-alemdar02,Turkey,Goalkeeper,right,192.0,6/30/26 0:00,4000000
192,Paul Bernardoni,Angers,25,97,27.0,62,2.30,143,84,62.2,3,11.1,Ligue 1,2,0,2,0,0,2,3,66.7,1,1,0,1,1,3,12,1,Goalkeeper,65.7,12371,9125,97.5,97.3,39.3,0,0.0,0.0,0.0,0,12,0,0,0,0.30,21,62,-41,-1.52,-0.88,28.1,46.3,-18.2,-0.67,-0.44,paul-bernardoni97,France,Goalkeeper,left,190.0,6/30/24 0:00,3000000
193,Marco Bizot,Brest,31,91,37.0,54,1.46,176,122,73.3,8,21.6,Ligue 1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,24,4,Goalkeeper,72.9,24651,17824,100.0,98.5,51.3,0,0.0,0.1,0.0,0,14,1,0,0,1.16,44,54,-10,-0.27,-0.27,41.9,55.0,-13.1,-0.35,-0.78,marco-bizot91,Netherlands,Goalkeeper,right,193.0,6/30/24 0:00,4000000
194,Rubén Blanco,Marseille,27,95,5.5,6,1.09,19,15,68.4,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,80.6,3744,2408,100.0,98.9,45.1,0,0.0,0.0,0.0,0,0,0,0,0,1.00,8,6,+2,+0.36,-0.41,8.3,5.6,+2.7,+0.49,-0.12,ruben-blanco95,Spain,Goalkeeper,right,188.0,6/30/23 0:00,4000000
195,Joaquín Blázquez,Brest,21,01,1.0,0,0.00,3,3,100.0,1,100.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Goalkeeper,72.4,728,535,100.0,87.5,57.1,0,0.0,0.0,0.0,0,1,0,0,0,1.00,0,0,0,0.00,+0.27,1.5,1.0,+0.4,+0.43,+0.78,joaquin-blazquez01,Argentina,Goalkeeper,right,193.0,6/30/23 0:00,500000
196,Marcin Bułka,Nice,22,99,2.0,2,1.00,6,4,66.7,0,0.0,Ligue 1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Goalkeeper,80.6,1465,1156,100.0,97.0,52.0,0,0.0,0.0,0.0,0,0,0,0,0,0.50,1,2,-1,-0.50,-0.83,2.6,2.3,+0.2,+0.11,-0.24,marcin-bulka99,Poland,Goalkeeper,right,199.0,6/30/26 0:00,2000000
197,Matis Carvalho,Montpellier,23,99,1.5,3,1.99,8,5,62.5,1,100.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Goalkeeper,39.6,924,794,100.0,100.0,32.6,0,0.0,0.0,0.0,0,1,0,0,0,1.50,2,3,-1,-0.66,-0.77,1.6,2.2,-0.6,-0.39,-0.13,matis-carvalho99,France,Goalkeeper,left,186.0,6/30/23 0:00,300000
198,Lucas Chevalier,Lille,20,01,32.0,31,0.97,105,76,72.4,10,31.3,Ligue 1,2,1,2,0,0,2,2,100.0,0,1,0,1,2,4,7,2,Goalkeeper,77.1,17580,12052,99.6,98.3,39.8,0,0.6,0.2,-0.6,2,19,0,0,0,1.78,52,31,+21,+0.66,+0.66,58.4,31.8,+26.5,+0.83,+0.55,lucas-chevalier01,France,Goalkeeper,right,189.0,6/30/27 0:00,10000000
199,Rémy Descamps,Nantes,26,96,1.0,1,1.00,6,5,83.3,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,84.6,684,521,100.0,100.0,69.2,0,0.0,0.0,0.0,0,1,0,0,0,1.00,2,2,0,0.00,+0.49,1.7,0.7,+1.1,+1.06,+1.35,remy-descamps96,France,Goalkeeper,left,196.0,6/30/24 0:00,800000
200,Mory Diaw,Clermont Foot,29,93,37.0,47,1.27,161,110,75.8,10,27.0,Ligue 1,0,0,0,0,0,0,4,0.0,4,0,0,0,2,2,13,5,Goalkeeper,70.5,30947,21906,98.2,97.4,49.9,0,0.2,0.1,-0.2,4,34,3,0,0,1.59,44,47,-3,-0.08,+0.92,46.9,56.9,-10.0,-0.27,+0.50,mory-diaw93,France,Goalkeeper,right,195.0,6/30/24 0:00,1500000
201,Yehvann Diouf,Reims,22,99,31.0,31,1.00,137,107,78.1,14,45.2,Ligue 1,2,0,2,0,0,1,3,33.3,2,0,0,0,1,3,13,5,Goalkeeper,80.1,23462,15373,99.0,98.7,59.0,0,0.0,0.0,0.0,1,6,0,0,1,1.45,35,31,+4,+0.13,+0.70,50.1,41.5,+8.6,+0.28,+0.25,yehvann-diouf99,France,Goalkeeper,right,184.0,6/30/27 0:00,5000000
202,Ouparine Djoco,Clermont Foot,24,98,1.0,2,2.00,3,1,33.3,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,65.0,516,382,100.0,100.0,22.2,0,0.0,0.0,0.0,0,0,0,0,0,0.00,1,2,-1,-1.00,-0.92,0.5,1.3,-0.8,-0.77,-0.50,ouparine-djoco98,France,Goalkeeper,left,188.0,6/30/25 0:00,600000
203,Gianluigi Donnarumma,Paris S-G,23,99,37.9,40,1.06,160,120,76.3,13,34.2,Ligue 1,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,12,4,Goalkeeper,86.7,16498,10725,99.6,98.3,52.3,0,0.0,0.0,0.0,0,2,0,0,0,2.24,89,40,+49,+1.29,+1.29,78.1,48.3,+29.8,+0.79,-0.05,gianluigi-donnarumma99,Italy,Goalkeeper,right,196.0,6/30/26 0:00,50000000
204,Maxime Dupé,Toulouse,29,93,38.0,57,1.50,179,122,70.4,9,23.7,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,3,Goalkeeper,78.2,25377,16802,100.0,98.2,49.3,0,0.0,0.0,0.0,0,6,0,0,0,1.26,51,57,-6,-0.16,,52.5,57.0,-4.5,-0.12,,maxime-dupe93,France,Goalkeeper,right,188.0,6/30/23 0:00,2000000
205,Yahia Fofana,Angers,21,00,11.0,19,1.73,54,35,66.7,1,9.1,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,Goalkeeper,69.8,6001,4360,100.0,99.1,42.3,0,0.0,0.0,0.0,0,3,0,0,0,0.91,12,19,-7,-0.64,+0.88,12.8,15.4,-2.6,-0.23,+0.44,yahia-fofana00,France,Goalkeeper,right,194.0,6/30/26 0:00,2500000
206,Gauthier Gallon,Troyes,29,93,29.6,65,2.19,177,114,66.1,0,0.0,Ligue 1,2,2,2,0,0,2,4,50.0,2,0,0,0,2,4,17,0,Goalkeeper,66.6,16827,12352,99.3,98.4,37.4,0,0.0,0.0,0.0,1,10,0,0,0,0.60,35,65,-30,-1.01,-0.30,33.4,61.8,-28.4,-0.96,+0.30,gauthier-gallon93,France,Goalkeeper,right,186.0,6/30/24 0:00,2000000
207,Bingourou Kamara,Montpellier,25,96,4.5,11,2.43,25,13,60.0,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Goalkeeper,66.4,2374,1898,94.1,97.7,40.6,0,0.0,0.0,0.0,0,2,0,0,0,0.20,5,11,-6,-1.32,-1.59,5.0,10.3,-5.3,-1.17,-1.03,bingourou-kamara96,France,Goalkeeper,right,195.0,6/30/23 0:00,800000
208,Alban Lafont,Nantes,23,99,37.0,54,1.46,179,129,74.9,11,29.7,Ligue 1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,20,4,Goalkeeper,70.1,25417,19277,99.2,97.7,49.0,0,0.1,0.1,-0.1,1,16,1,0,1,0.95,36,54,-18,-0.49,-0.49,41.0,51.7,-10.7,-0.29,-1.34,alban-lafont99,Burkina Faso,Goalkeeper,right,196.0,6/30/24 0:00,20000000
209,Jean-Louis Leca,Lens,36,85,1.0,1,1.00,4,3,75.0,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Goalkeeper,82.1,953,690,90.9,100.0,70.0,0,0.0,0.0,0.0,0,1,0,0,0,3.00,3,1,+2,+2.00,+1.00,2.8,3.3,-0.5,-0.50,-1.14,jean-louis-leca85,France,Goalkeeper,right,180.0,6/30/24 0:00,300000
210,Benjamin Lecomte,Montpellier,31,91,19.0,22,1.16,96,72,79.2,8,42.1,Ligue 1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,0,Goalkeeper,63.9,12683,9750,100.0,96.6,45.5,0,0.1,0.0,-0.1,1,3,0,0,0,1.74,37,22,+15,+0.79,+1.42,29.8,29.8,0.0,0.00,+0.52,benjamin-lecomte91,France,Goalkeeper,left,186.0,6/30/27 0:00,4000000
211,Donovan Léon,Auxerre,29,92,2.0,2,1.00,11,9,90.9,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,48.1,1559,1309,100.0,100.0,35.9,0,0.0,0.0,0.0,0,5,0,0,0,2.00,3,2,+1,+0.50,+1.31,4.1,3.2,+0.9,+0.45,+0.91,donovan-leon92,French Guiana,Goalkeeper,right,187.0,6/30/25 0:00,600000
212,Benjamin Leroy,Ajaccio,33,89,31.1,60,1.93,133,74,60.9,4,12.5,Ligue 1,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,16,2,Goalkeeper,60.9,18415,15715,100.0,98.1,44.0,0,0.0,0.1,0.0,0,22,0,0,1,0.69,19,60,-41,-1.32,+0.13,30.1,43.7,-13.6,-0.44,+0.17,benjamin-leroy89,France,Goalkeeper,right,184.0,6/30/23 0:00,600000
213,Alexandre Letellier,Paris S-G,31,90,0.1,0,0.00,0,0,,0,,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,100.0,68,43,100.0,100.0,,0,0.0,0.0,0.0,0,0,0,0,0,0.00,0,0,0,0.00,-1.29,0.1,0.0,+0.1,+0.84,+0.05,alexandre-letellier90,France,Goalkeeper,right,193.0,6/30/24 0:00,400000
214,Mateusz Lis,Troyes,25,97,8.3,16,1.92,51,34,72.5,1,12.5,Ligue 1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Goalkeeper,67.8,5648,4318,98.0,95.8,41.0,0,0.0,0.0,0.0,0,5,0,0,0,0.78,10,16,-6,-0.72,+0.29,5.7,16.2,-10.5,-1.27,-0.31,mateusz-lis97,Poland,Goalkeeper,right,192.0,6/30/23 0:00,1000000
215,Anthony Lopes,Lyon,31,90,31.3,39,1.25,131,94,75.6,7,21.9,Ligue 1,1,0,1,0,0,1,4,25.0,3,0,0,0,3,4,10,0,Goalkeeper,77.2,20368,14374,100.0,99.0,49.9,0,0.0,0.0,0.0,0,9,0,0,0,1.63,54,39,+15,+0.48,+0.03,50.1,43.1,+7.0,+0.22,-0.15,anthony-lopes90,France,Goalkeeper,left,184.0,6/30/25 0:00,9000000
216,Pau López,Marseille,27,94,32.5,34,1.05,123,90,76.4,10,31.3,Ligue 1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Goalkeeper,78.6,23244,14324,98.6,98.5,54.3,2,0.4,0.3,+1.6,3,17,1,0,2,2.03,59,34,+25,+0.77,+0.41,56.9,36.8,+20.1,+0.62,+0.12,pau-lopez94,Spain,Goalkeeper,left,189.0,6/30/26 0:00,14000000
217,Steve Mandanda,Rennes,37,85,33.5,31,0.93,110,79,73.6,12,35.3,Ligue 1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,3,Goalkeeper,75.6,25001,17025,98.7,97.9,50.8,1,0.1,0.0,+0.9,1,15,0,0,1,1.82,62,31,+31,+0.93,+1.15,55.3,38.1,+17.2,+0.51,+0.50,steve-mandanda85,Zaire,Goalkeeper,right,187.0,6/30/24 0:00,1500000
