,player_name,age,fee,transfer_period,season,Squad,player_code
2432,Aleksandr Vasyutin,27.0,0.0,Winter,2022/2023,Zenit,aleksandr-vasyutin95
2433,Robert Renan,19.0,0.0,Winter,2022/2023,Zenit,robert-renan03
2437,Daniil Chernyakov,21.0,0.0,Summer,2022/2023,Fakel Voronezh,daniil-chernyakov01
2438,Ilnur Alshin,28.0,120000.0,Summer,2022/2023,Fakel Voronezh,ilnur-alshin93
2443,Ivan Basic,20.0,550000.0,Summer,2022/2023,Orenburg,ivan-basic02
2455,Georgi Gongadze,26.0,0.0,Summer,2022/2023,Fakel Voronezh,georgi-gongadze96
2457,Irakli Kvekveskiri,32.0,0.0,Summer,2022/2023,Fakel Voronezh,irakli-kvekveskiri90
2459,Gabriel Florentín,23.0,2200000.0,Summer,2022/2023,Orenburg,gabriel-florentin99
2468,Evgeni Morozov,21.0,0.0,Summer,2022/2023,Fakel Voronezh,evgeni-morozov01
2472,Evgeniy Shlyakov,30.0,0.0,Summer,2022/2023,Fakel Voronezh,yevgeni-shlyakov91
2481,Gustavo Sá,17.0,0.0,Summer,2022/2023,Famalicão,gustavo-sa04
2483,Santiago Colombatto,25.0,0.0,Summer,2022/2023,Famalicão,santiago-colombatto97
2489,André Simões,32.0,0.0,Summer,2022/2023,Famalicão,andre-simoes89
2490,Rui Fonte,32.0,0.0,Summer,2022/2023,Famalicão,rui-fonte90
2491,Martín Aguirregabiria,26.0,0.0,Summer,2022/2023,Famalicão,martin-agirregabiria96
2492,Théo Fonseca,22.0,0.0,Summer,2022/2023,Famalicão,theo-fonseca00
2493,Enea Mihaj,24.0,200000.0,Summer,2022/2023,Famalicão,enea-mihaj98
2495,Zaydou Youssouf,23.0,1000000.0,Summer,2022/2023,Famalicão,zaydou-youssouf99
2527,Pedro Álvaro,22.0,0.0,Summer,2022/2023,Estoril,pedro-alvaro00
2529,Victor Bobsin,22.0,0.0,Summer,2022/2023,Santa Clara,victor-bobsin00
2530,Gabriel Batista,24.0,0.0,Summer,2022/2023,Santa Clara,gabriel-batista98
2531,Adriano,22.0,0.0,Summer,2022/2023,Santa Clara,adriano99
2532,João Marcos,22.0,0.0,Summer,2022/2023,Santa Clara,joao-marcos00
2533,Diogo Calila,23.0,250000.0,Summer,2022/2023,Santa Clara,diogo-calila98
2535,Rildo,22.0,1250000.0,Summer,2022/2023,Santa Clara,rildo00
2545,Falaye Sacko,27.0,500000.0,Summer,2022/2023,Montpellier,falaye-sacko95
2547,Jhonatan,31.0,600000.0,Summer,2022/2023,Rio Ave,jhonatan91
2551,Abdul Mumin,24.0,1500000.0,Summer,2022/2023,Rayo Vallecano,abdul-mumin98
2552,Andrezinho,25.0,0.0,Summer,2022/2023,Santa Clara,andrezinho96
2568,Filip Stevanovic,19.0,0.0,Summer,2022/2023,Santa Clara,filip-stevanovic02
2569,Pedro Bicalho,21.0,0.0,Summer,2022/2023,Santa Clara,pedro-bicalho01
2571,Matheus Babi,25.0,0.0,Summer,2022/2023,Santa Clara,matheus-babi97
2573,MT,21.0,0.0,Summer,2022/2023,Santa Clara,mt01
2575,Ítalo,20.0,0.0,Summer,2022/2023,Santa Clara,italo02
2578,Rodrigo Martins,23.0,0.0,Summer,2022/2023,Estoril,rodrigo-martins98
2579,Tiago Araújo,21.0,0.0,Summer,2022/2023,Estoril,tiago-araujo01
2581,Rafael Brito,20.0,0.0,Summer,2022/2023,Marítimo,rafael-brito02
2600,Ali Alipour,26.0,0.0,Summer,2022/2023,Gil Vicente FC,ali-alipour95
2602,André Teles,25.0,0.0,Summer,2022/2023,Marítimo,andre-teles97
2603,Percy Liza,22.0,0.0,Summer,2022/2023,Marítimo,percy-liza00
2604,Geny Catamo,21.0,0.0,Summer,2022/2023,Marítimo,geny-catamo01
2623,Stephen Eustaquio,25.0,3500000.0,Summer,2022/2023,Porto,stephen-eustaquio96
2634,Lucho Vega,23.0,0.0,Summer,2022/2023,Marítimo,luciano-vega99
2635,Rodrigo Valente,21.0,0.0,Summer,2022/2023,Santa Clara,rodrigo-valente01
2637,André Franco,24.0,4000000.0,Summer,2022/2023,Porto,andre-franco98
2639,João Carlos,27.0,0.0,Summer,2022/2023,Estoril,joao-carlos95
2640,Elias Achouri,23.0,0.0,Summer,2022/2023,Estoril,elias-achouri99
2641,Benchimol,20.0,0.0,Summer,2022/2023,Estoril,gilson-benchimol01
2643,Volnei,22.0,0.0,Summer,2022/2023,Estoril,volnei-feltes00
2644,Sérginho,21.0,0.0,Summer,2022/2023,Estoril,serginho01
2645,Tiago Santos,20.0,0.0,Summer,2022/2023,Estoril,tiago-santos02
2646,Alejandro Marqués,21.0,0.0,Summer,2022/2023,Estoril,alejandro-marques00
