,Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
259,Hannover 96,49.2,34,19,1.0,0.56,51.1,44.0,34.0,1.29,1.0
260,Hansa Rostock,46.7,41,28,1.21,0.82,53.4,50.0,37.0,1.47,1.09
261,Heidenheim,48.9,42,33,1.24,0.97,51.4,43.0,29.0,1.26,0.85
262,Holstein Kiel,54.8,42,28,1.24,0.82,45.4,53.0,38.0,1.56,1.12
263,Ingolstadt 04,40.6,27,14,0.79,0.41,60.1,63.0,45.0,1.85,1.32
264,Jahn R'burg,49.3,49,35,1.44,1.03,50.8,50.0,39.0,1.47,1.15
265,Karlsruher,51.2,53,39,1.56,1.15,48.0,51.0,35.0,1.5,1.03
266,Nürnberg,48.8,47,28,1.38,0.82,51.7,47.0,33.0,1.38,0.97
267,Paderborn 07,52.4,55,39,1.62,1.15,47.8,44.0,30.0,1.29,0.88
268,Sandhausen,39.9,40,25,1.18,0.74,60.7,53.0,39.0,1.56,1.15
269,Schalke 04,52.4,69,54,2.03,1.59,47.5,44.0,36.0,1.29,1.06
270,St. Pauli,54.2,60,49,1.76,1.44,45.9,45.0,32.0,1.32,0.94
271,Werder Bremen,57.1,62,42,1.82,1.24,42.7,41.0,24.0,1.21,0.71
272,Alessandria,49.0,37,24,0.97,0.63,50.8,57.0,43.0,1.5,1.13
273,Ascoli,49.6,50,34,1.32,0.89,50.6,40.0,20.0,1.05,0.53
274,Benevento,54.6,59,37,1.55,0.97,45.1,37.0,21.0,0.97,0.55
275,Brescia,53.5,55,39,1.45,1.03,46.5,35.0,23.0,0.92,0.61
276,Cittadella,51.8,38,22,1.0,0.58,48.3,36.0,27.0,0.95,0.71
277,Como,45.4,49,32,1.29,0.84,54.8,52.0,30.0,1.37,0.79
278,Cosenza,44.1,34,24,0.89,0.63,55.9,57.0,41.0,1.5,1.08
279,Cremonese,48.9,56,42,1.47,1.11,51.0,37.0,23.0,0.97,0.61
280,Crotone,53.6,39,27,1.03,0.71,46.6,60.0,39.0,1.58,1.03
281,Frosinone,51.1,53,34,1.39,0.89,48.6,44.0,29.0,1.16,0.76
282,Lecce,52.5,58,38,1.53,1.0,47.3,30.0,17.0,0.79,0.45
283,Monza,55.9,58,34,1.53,0.89,43.9,36.0,21.0,0.95,0.55
284,Parma,51.5,48,30,1.26,0.79,48.6,42.0,29.0,1.11,0.76
285,Perugia,49.6,40,26,1.05,0.68,49.9,32.0,19.0,0.84,0.5
286,Pisa,47.6,43,27,1.13,0.71,52.7,33.0,19.0,0.87,0.5
287,Pordenone,46.2,29,15,0.76,0.39,54.0,71.0,53.0,1.87,1.39
288,SPAL,51.3,45,30,1.18,0.79,48.6,53.0,35.0,1.39,0.92
289,Ternana,49.2,57,47,1.5,1.24,51.1,57.0,39.0,1.5,1.03
290,US Reggina,47.6,30,13,0.79,0.34,51.6,48.0,38.0,1.26,1.0
291,Vicenza Virtus,47.1,35,22,0.92,0.58,53.2,56.0,31.0,1.47,0.82
292,ADO Den Haag,52.4,74,49,1.95,1.29,47.6,51.0,40.0,1.34,1.05
