,Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
161,Zwolle,50.3,26,21,0.76,0.62,49.5,49.0,31.0,1.44,0.91
162,Arouca,49.9,30,18,0.88,0.53,50.4,52.0,36.0,1.53,1.06
163,B-SAD,43.5,22,11,0.65,0.32,,,,,
164,Benfica,60.9,77,58,2.26,1.71,38.6,29.0,22.0,0.85,0.65
165,Boavista,44.6,39,28,1.15,0.82,55.4,51.0,34.0,1.5,1.0
166,Braga,53.7,52,34,1.53,1.0,46.0,30.0,19.0,0.88,0.56
167,Estoril,47.4,35,25,1.03,0.74,52.7,41.0,25.0,1.21,0.74
168,Famalicão,47.4,43,32,1.26,0.94,52.4,49.0,33.0,1.44,0.97
169,Gil Vicente FC,54.4,47,32,1.38,0.94,45.8,40.0,20.0,1.18,0.59
170,Marítimo,48.7,38,21,1.12,0.62,51.3,44.0,26.0,1.29,0.76
171,Moreirense,44.4,32,19,0.94,0.56,55.9,51.0,29.0,1.5,0.85
172,Paços,49.0,28,17,0.82,0.5,50.9,44.0,31.0,1.29,0.91
173,Portimonense,48.5,28,18,0.82,0.53,51.7,43.0,28.0,1.26,0.82
174,Porto,62.6,83,54,2.44,1.59,36.8,22.0,16.0,0.65,0.47
175,Santa Clara,45.8,36,22,1.06,0.65,54.3,54.0,39.0,1.59,1.15
176,Sporting CP,59.8,71,45,2.09,1.32,39.9,21.0,13.0,0.62,0.38
177,Tondela,45.9,41,25,1.21,0.74,54.0,66.0,40.0,1.94,1.18
178,Vitória,48.7,50,25,1.47,0.74,51.0,41.0,24.0,1.21,0.71
179,Vizela,44.8,36,23,1.06,0.68,55.4,56.0,34.0,1.65,1.0
180,Excel Mouscron,43.9,27,19,0.96,0.68,56.1,44.0,29.0,1.57,1.04
181,KMSK Deinze,54.0,45,31,1.61,1.11,46.0,39.0,26.0,1.39,0.93
182,Lierse Kempenzonen,46.6,39,23,1.39,0.82,53.4,39.0,29.0,1.39,1.04
183,Lommel SK,49.1,38,24,1.36,0.86,50.9,40.0,25.0,1.43,0.89
184,RWD Molenbeek,52.6,40,27,1.43,0.96,47.4,30.0,21.0,1.07,0.75
185,Virton,43.3,24,16,0.86,0.57,56.7,52.0,28.0,1.86,1.0
186,Waasland-Bev,53.0,43,27,1.54,0.96,47.0,38.0,28.0,1.36,1.0
187,Westerlo,58.1,52,34,1.86,1.21,41.9,26.0,15.0,0.93,0.54
188,Barnsley,44.9,33,25,0.72,0.54,55.0,72.0,54.0,1.57,1.17
189,Birmingham City,44.3,49,34,1.07,0.74,56.0,73.0,56.0,1.59,1.22
