,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
30,Bernd Leno,Fulham,30,92,36.0,51,1.42,192,142,77.1,8,22.2,Premier League,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,18,1,Goalkeeper,79.5,26975,16383,99.6,99.4,44.3,0,0.0,0.0,0.0,1,11,0,0,0,1.39,53,51,+2,0.06,+0.06,43.5,61.7,-18.2,-0.50,-0.81,bernd-leno92,Germany,Goalkeeper,right,190.0,10000000,3600000.0,Summer,-14.040000000000001
31,Neto,Bournemouth,33,89,26.5,39,1.47,138,100,74.6,6,22.2,Premier League,3,1,3,0,0,3,3,100.0,0,0,0,0,0,3,10,3,Goalkeeper,62.5,15893,12592,98.2,96.5,41.1,0,0.0,0.0,0.0,0,14,2,0,0,1.22,27,39,-12,-0.45,+1.46,30.7,44.0,-13.4,-0.51,+0.53,neto89,Brazil,Goalkeeper,right,190.0,2500000,0.0,Summer,-38.69
32,Robin Olsen,Aston Villa,32,90,3.1,8,2.56,19,11,63.2,1,50.0,Premier League,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Goalkeeper,56.5,2049,1522,94.4,100.0,33.8,0,0.0,0.0,0.0,0,2,0,0,0,1.00,4,8,-4,-1.28,-1.54,3.7,8.6,-4.9,-1.56,-1.64,robin-olsen90,Sweden,Goalkeeper,right,196.0,2000000,3500000.0,Summer,-3.1620000000000004
33,Stefan Ortega,Manchester City,29,92,3.0,1,0.33,15,14,93.3,2,66.7,Premier League,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,86.8,3008,1895,98.3,98.4,58.7,0,0.0,0.0,0.0,0,1,0,0,0,2.33,5,1,+4,1.33,-0.30,5.3,3.9,+1.4,+0.48,-0.81,stefan-ortega92,Germany,Goalkeeper,right,185.0,6000000,0.0,Summer,3.5100000000000007
34,Nick Pope,Newcastle Utd,30,92,36.2,32,0.88,118,85,74.6,14,37.8,Premier League,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,27,2,Goalkeeper,69.0,17068,11723,99.2,97.2,44.4,0,0.1,0.0,-0.1,2,13,0,0,1,1.89,67,32,+35,0.97,+0.97,68.5,36.4,+32.1,+0.89,+0.71,nick-pope92,England,Goalkeeper,right,198.0,18000000,11500000.0,Summer,62.626000000000005
35,Joel Robles,Leeds United,32,90,4.0,11,2.75,27,16,66.7,0,0.0,Premier League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1,Goalkeeper,51.6,2048,1611,100.0,96.3,34.8,0,0.0,0.0,0.0,0,2,0,0,0,0.25,5,11,-6,-1.5,-0.79,4.6,9.3,-4.7,-1.17,-0.72,joel-robles90,Spain,Goalkeeper,right,197.0,1200000,0.0,Summer,-5.92
36,Julen Agirrezabala,Athletic Club,21,00,7.5,6,0.80,19,13,68.4,2,28.6,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Goalkeeper,71.0,4890,3600,100.0,96.8,43.2,0,0.0,0.0,0.0,0,2,0,0,0,0.75,5,6,-1,-0.13,-0.30,10.2,6.9,+3.3,+0.43,-0.03,julen-agirrezabala00,Spain,Goalkeeper,left,187.0,5000000,0.0,Summer,-1.9500000000000002
37,Sergio Asenjo,Valladolid,33,89,10.0,21,2.10,51,30,60.8,1,10.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Goalkeeper,66.0,7218,5138,100.0,95.5,44.8,0,0.0,0.0,0.0,0,4,0,0,0,0.80,7,21,-14,-1.4,-0.83,8.7,18.4,-9.7,-0.97,-0.36,sergio-asenjo89,Spain,Goalkeeper,right,189.0,1500000,0.0,Summer,-20.8
38,Aitor Fernández,Osasuna,31,91,21.0,19,0.90,77,59,75.3,8,38.1,La Liga,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,17,0,Goalkeeper,65.3,18920,16063,97.8,96.7,50.7,0,0.0,0.1,0.0,0,33,0,0,1,1.67,23,19,+4,0.19,+0.72,20.6,24.3,-3.6,-0.17,-0.04,aitor-fernandez91,Spain,Goalkeeper,right,182.0,3000000,0.0,Summer,9.03
39,Paulo Gazzaniga,Girona,30,92,28.0,37,1.32,125,87,73.6,4,14.3,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,9,5,Goalkeeper,73.2,21240,15708,100.0,97.2,46.1,0,0.2,0.0,-0.2,1,21,0,0,0,1.46,44,37,+7,0.25,+0.65,37.2,42.1,-4.9,-0.18,-0.24,paulo-gazzaniga92,Argentina,Goalkeeper,right,196.0,2500000,0.0,Summer,-5.599999999999997
40,Ivo Grbić,Atlético Madrid,26,96,10.2,12,1.17,48,36,81.3,2,20.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Goalkeeper,66.4,6085,4302,98.3,100.0,42.3,0,0.0,0.0,0.0,0,0,0,0,0,1.92,28,13,+15,1.46,+0.67,17.9,14.9,+3.0,+0.29,-0.35,ivo-grbic96,Croatia,Goalkeeper,right,195.0,3500000,0.0,Summer,16.727999999999998
41,Filip Jørgensen,Villarreal,20,02,2.0,3,1.50,6,3,50.0,0,0.0,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,89.1,908,552,100.0,96.4,54.5,0,0.0,0.0,0.0,0,0,0,0,0,0.50,2,3,-1,-0.5,-1.06,2.4,2.8,-0.4,-0.19,-0.53,filip-jorgensen02,Sweden,Goalkeeper,right,190.0,1500000,0.0,Winter,-1.16
42,Pepe Reina,Villarreal,39,82,22.0,27,1.23,87,61,73.6,5,22.7,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,4,Goalkeeper,80.1,16159,10999,97.9,98.8,47.2,0,0.7,0.0,-0.7,1,5,0,0,0,1.91,42,27,+15,0.68,+0.43,42.1,33.0,+9.1,+0.41,+0.24,pepe-reina82,Spain,Goalkeeper,right,188.0,700000,0.0,Summer,13.200000000000003
43,Diego López,Rayo Vallecano,40,81,1.1,4,3.75,5,1,20.0,0,0.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Goalkeeper,75.9,462,309,87.5,100.0,40.0,0,0.0,0.0,0.0,0,0,0,0,0,0.00,1,4,-3,-2.81,-2.68,0.9,1.8,-0.9,-0.82,-0.67,diego-lopez81,Spain,Goalkeeper,right,196.0,500000,0.0,Summer,-3.091
44,Agustín Marchesín,Celta Vigo,34,88,19.0,29,1.53,72,42,62.5,6,31.6,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Goalkeeper,70.7,12898,9202,100.0,97.2,47.8,0,0.0,0.0,0.0,0,6,0,0,1,1.05,18,29,-11,-0.58,-0.63,21.2,19.7,+1.6,+0.08,+0.31,agustin-marchesin88,Argentina,Goalkeeper,right,188.0,3000000,1000000.0,Summer,-16.529999999999998
45,Iván Villar,Celta Vigo,25,97,19.0,24,1.26,62,38,66.1,4,21.1,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Goalkeeper,69.1,11814,8420,97.0,97.4,41.8,0,0.0,0.0,0.0,1,6,0,0,1,1.21,25,24,+1,0.05,+0.63,21.4,25.8,-4.4,-0.23,-0.31,ivan-villar97,Spain,Goalkeeper,right,186.0,1200000,0.0,Summer,-4.56
46,Diego Mariño,Almería,32,90,0.5,2,4.00,5,3,60.0,0,,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,87.5,261,204,,100.0,75.0,0,0.0,0.0,0.0,0,0,0,0,0,0.00,0,2,-2,-4.0,-3.63,0.3,1.2,-0.9,-1.87,-1.44,diego-marino90,Spain,Goalkeeper,right,187.0,300000,0.0,Winter,-2.445
47,Fernando Pacheco,Espanyol,30,92,16.0,33,2.06,88,54,67.0,3,18.8,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,11,0,Goalkeeper,71.6,12946,10565,98.2,98.9,52.9,0,0.2,0.1,-0.2,3,22,1,0,2,0.94,23,33,-10,-0.62,-0.31,23.1,31.4,-8.3,-0.52,-0.37,fernando-pacheco92,Spain,Goalkeeper,left,187.0,3000000,2200000.0,Winter,-16.639999999999997
48,Iñaki Peña,Barcelona,23,99,0.8,2,2.47,4,2,50.0,0,,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Goalkeeper,92.6,585,407,100.0,100.0,66.7,0,0.0,0.0,0.0,0,0,0,0,0,0.00,2,2,0,0.0,-1.34,1.2,1.4,-0.2,-0.29,-1.43,inaki-pena99,Spain,Goalkeeper,right,184.0,4000000,0.0,Summer,0.44000000000000006
49,Predrag Rajković,Mallorca,26,95,36.0,40,1.11,133,92,74.4,12,33.3,La Liga,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,16,1,Goalkeeper,59.3,28066,23317,98.7,98.7,45.2,0,0.5,0.1,-0.5,4,51,1,0,3,1.31,34,40,-6,-0.17,-0.17,32.9,41.7,-8.8,-0.25,+0.95,predrag-rajkovic95,Yugoslavia (Republic),Goalkeeper,right,192.0,10000000,2000000.0,Summer,9.000000000000004
50,Leonardo Román,Mallorca,22,00,1.0,0,0.00,4,4,100.0,1,100.0,La Liga,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,69.0,846,648,100.0,100.0,45.8,0,0.0,0.0,0.0,0,0,0,0,0,3.00,3,0,+3,3.0,+3.24,2.2,1.1,+1.1,+1.12,+1.45,leonardo-roman00,Spain,Goalkeeper,right,189.0,300000,0.0,Summer,3.42
51,Axel Werner,Elche,26,96,2.0,4,2.00,8,4,50.0,0,0.0,La Liga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,74.3,1421,813,100.0,97.1,46.7,0,0.0,0.0,0.0,0,1,0,0,0,0.00,1,4,-3,-1.5,-0.56,1.7,3.0,-1.3,-0.66,+0.21,axel-werner96,Argentina,Goalkeeper,right,191.0,800000,0.0,Summer,-3.6799999999999997
52,Vitali Gudiyev,FC Khimki,27,95,7.5,22,2.93,52,31,59.6,1,14.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.25,5,22,-17,-2.27,-1.16,,,,,,vitali-gudiyev95,Russia,Goalkeeper,left,192.0,600000,0.0,Summer,-22.275
53,Anton Mitryushkin,FC Khimki,26,96,9.0,20,2.22,61,44,72.1,1,11.1,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.56,6,20,-14,-1.56,-0.22,,,,,,anton-mitryushkin96,Russia,Goalkeeper,right,186.0,300000,0.0,Summer,-20.339999999999996
54,Mikhail Oparin,Akhmat Grozny,29,93,0.8,2,2.43,6,4,66.7,0,0.0,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,0.00,2,2,0,0.0,-0.41,,,,,,mikhail-oparin93,Russia,Goalkeeper,left,191.0,400000,200000.0,Summer,-0.08000000000000002
55,Aleksandr Vasyutin,Zenit,27,95,3.0,3,1.00,11,8,72.7,1,33.3,Premier Liga,,0,,,,,,,,,,,0,,,,Goalkeeper,,,,,,,0,,,,,,,,,1.67,4,3,+1,0.33,-1.63,,,,,,aleksandr-vasyutin95,Russia,Goalkeeper,right,190.0,400000,0.0,Winter,1.6799999999999997
56,Paul Bernardoni,Angers,25,97,27.0,62,2.30,143,84,62.2,3,11.1,Ligue 1,2,0,2,0,0,2,3,66.7,1,1,0,1,1,3,12,1,Goalkeeper,65.7,12371,9125,97.5,97.3,39.3,0,0.0,0.0,0.0,0,12,0,0,0,0.30,21,62,-41,-1.52,-0.88,28.1,46.3,-18.2,-0.67,-0.44,paul-bernardoni97,France,Goalkeeper,left,190.0,3000000,0.0,Summer,-58.85999999999999
57,Yahia Fofana,Angers,21,00,11.0,19,1.73,54,35,66.7,1,9.1,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,Goalkeeper,69.8,6001,4360,100.0,99.1,42.3,0,0.0,0.0,0.0,0,3,0,0,0,0.91,12,19,-7,-0.64,+0.88,12.8,15.4,-2.6,-0.23,+0.44,yahia-fofana00,France,Goalkeeper,right,194.0,2500000,0.0,Summer,-14.299999999999997
58,Rubén Blanco,Marseille,27,95,5.5,6,1.09,19,15,68.4,0,0.0,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,80.6,3744,2408,100.0,98.9,45.1,0,0.0,0.0,0.0,0,0,0,0,0,1.00,8,6,+2,0.36,-0.41,8.3,5.6,+2.7,+0.49,-0.12,ruben-blanco95,Spain,Goalkeeper,right,188.0,4000000,0.0,Summer,1.98
59,Pau López,Marseille,27,94,32.5,34,1.05,123,90,76.4,10,31.3,Ligue 1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Goalkeeper,78.6,23244,14324,98.6,98.5,54.3,2,0.4,0.3,+1.6,3,17,1,0,2,2.03,59,34,+25,0.77,+0.41,56.9,36.8,+20.1,+0.62,+0.12,pau-lopez94,Spain,Goalkeeper,left,189.0,14000000,12000000.0,Summer,25.025000000000002
60,Marcin Bułka,Nice,22,99,2.0,2,1.00,6,4,66.7,0,0.0,Ligue 1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Goalkeeper,80.6,1465,1156,100.0,97.0,52.0,0,0.0,0.0,0.0,0,0,0,0,0,0.50,1,2,-1,-0.5,-0.83,2.6,2.3,+0.2,+0.11,-0.24,marcin-bulka99,Poland,Goalkeeper,right,199.0,2000000,2000000.0,Summer,-1.04
61,Kasper Schmeichel,Nice,35,86,36.0,35,0.97,141,105,77.3,11,30.6,Ligue 1,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,11,1,Goalkeeper,77.3,25553,18698,100.0,97.4,56.4,0,0.4,0.0,-0.4,2,8,0,0,0,1.58,47,35,+12,0.33,+0.83,54.6,42.3,+12.4,+0.34,+0.24,kasper-schmeichel86,Denmark,Goalkeeper,right,189.0,2500000,1000000.0,Summer,11.16
62,Lucas Chevalier,Lille,20,01,32.0,31,0.97,105,76,72.4,10,31.3,Ligue 1,2,1,2,0,0,2,2,100.0,0,1,0,1,2,4,7,2,Goalkeeper,77.1,17580,12052,99.6,98.3,39.8,0,0.6,0.2,-0.6,2,19,0,0,0,1.78,52,31,+21,0.66,+0.66,58.4,31.8,+26.5,+0.83,+0.55,lucas-chevalier01,France,Goalkeeper,right,189.0,10000000,0.0,Summer,25.279999999999998
63,Mory Diaw,Clermont Foot,29,93,37.0,47,1.27,161,110,75.8,10,27.0,Ligue 1,0,0,0,0,0,0,4,0.0,4,0,0,0,2,2,13,5,Goalkeeper,70.5,30947,21906,98.2,97.4,49.9,0,0.2,0.1,-0.2,4,34,3,0,0,1.59,44,47,-3,-0.08,+0.92,46.9,56.9,-10.0,-0.27,+0.50,mory-diaw93,France,Goalkeeper,right,195.0,1500000,0.0,Summer,13.689999999999996
64,Benjamin Lecomte,Montpellier,31,91,19.0,22,1.16,96,72,79.2,8,42.1,Ligue 1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,6,0,Goalkeeper,63.9,12683,9750,100.0,96.6,45.5,0,0.1,0.0,-0.1,1,3,0,0,0,1.74,37,22,+15,0.79,+1.42,29.8,29.8,0.0,0.00,+0.52,benjamin-lecomte91,France,Goalkeeper,left,186.0,4000000,2000000.0,Winter,15.010000000000002
65,Mateusz Lis,Troyes,25,97,8.3,16,1.92,51,34,72.5,1,12.5,Ligue 1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Goalkeeper,67.8,5648,4318,98.0,95.8,41.0,0,0.0,0.0,0.0,0,5,0,0,0,0.78,10,16,-6,-0.72,+0.29,5.7,16.2,-10.5,-1.27,-0.31,mateusz-lis97,Poland,Goalkeeper,right,192.0,1000000,0.0,Summer,-12.118
66,Steve Mandanda,Rennes,37,85,33.5,31,0.93,110,79,73.6,12,35.3,Ligue 1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,3,Goalkeeper,75.6,25001,17025,98.7,97.9,50.8,1,0.1,0.0,+0.9,1,15,0,0,1,1.82,62,31,+31,0.93,+1.15,55.3,38.1,+17.2,+0.51,+0.50,steve-mandanda85,Zaire,Goalkeeper,right,187.0,1500000,0.0,Summer,32.160000000000004
67,Vito Mannone,Lorient,34,88,17.9,24,1.34,84,60,72.6,5,29.4,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,3,Goalkeeper,76.2,10835,7099,98.9,98.8,41.8,0,0.0,0.0,0.0,0,2,0,0,0,1.00,19,24,-5,-0.28,-0.48,17.6,28.7,-11.0,-0.62,-0.49,vito-mannone88,Italy,Goalkeeper,right,189.0,300000,0.0,Summer,-1.2530000000000021
68,Yvon Mvogo,Lorient,28,94,20.1,29,1.44,98,70,71.4,3,14.3,Ligue 1,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,3,Goalkeeper,74.9,12098,8637,100.0,100.0,47.4,0,0.0,0.0,0.0,0,5,0,0,0,1.76,33,29,+4,0.2,+0.48,26.9,29.5,-2.6,-0.13,+0.49,yvon-mvogo94,Cameroon,Goalkeeper,right,190.0,3500000,0.0,Summer,8.241
69,Rémy Riou,Lyon,34,87,6.7,8,1.20,24,17,83.3,1,16.7,Ligue 1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Goalkeeper,79.6,3959,3001,95.6,97.1,43.8,0,0.0,0.0,0.0,0,0,0,0,1,1.86,11,8,+3,0.45,-0.03,11.1,8.6,+2.5,+0.38,+0.16,remy-riou87,France,Goalkeeper,right,191.0,400000,0.0,Summer,3.6850000000000005
70,Brice Samba,Lens,28,94,37.0,28,0.76,125,98,80.0,15,40.5,Ligue 1,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,12,2,Goalkeeper,75.8,25038,16717,99.5,98.3,52.7,0,0.1,0.0,-0.1,1,17,1,0,1,2.19,65,28,+37,1.0,-1.00,64.0,40.2,+23.7,+0.64,+1.14,brice-samba94,Congo,Goalkeeper,right,187.0,10000000,5000000.0,Summer,56.24
71,Radosław Majecki,Cercle Brugge,22,99,27.5,37,1.35,111,73,76.6,6,21.4,Jupiler Pro League,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,15,1,Goalkeeper,47.0,14373,12628,97.6,92.9,35.9,0,0.0,0.1,0.0,1,32,0,0,0,1.50,41,37,+4,0.15,+0.15,42.8,36.2,+6.6,+0.24,+0.45,radoslaw-majecki99,Poland,Goalkeeper,right,193.0,2500000,0.0,Summer,4.95
72,Lennart Moser,Eupen,22,99,30.5,66,2.16,173,108,65.9,5,16.7,Jupiler Pro League,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,3,Goalkeeper,65.8,18218,13039,97.4,97.8,43.1,0,0.0,0.0,0.0,0,16,0,0,0,0.81,35,66,-31,-1.02,+0.13,36.1,56.3,-20.2,-0.66,-0.28,lennart-moser99,Germany,Goalkeeper,left,196.0,600000,150000.0,Summer,-42.09
73,Paul Nardi,Gent,28,94,24.0,24,1.00,76,52,73.7,11,45.8,Jupiler Pro League,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,14,0,Goalkeeper,72.7,14032,10134,100.0,98.1,49.4,0,0.0,0.0,0.0,0,3,0,0,0,1.93,48,24,+24,1.0,+0.80,38.2,23.6,+14.6,+0.61,-0.04,paul-nardi94,France,Goalkeeper,right,188.0,2500000,150000.0,Summer,17.52
74,Walter Benítez,PSV Eindhoven,29,93,30.0,35,1.17,106,71,68.9,10,33.3,Eredivisie,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1,Goalkeeper,73.2,18073,13823,99.2,97.9,49.2,0,0.0,0.1,0.0,0,15,0,0,0,2.17,78,35,+43,1.43,-0.07,70.7,28.3,+42.4,+1.41,-0.35,walter-benitez93,Argentina,Goalkeeper,right,191.0,12000000,0.0,Summer,44.699999999999996
75,Jasper Cillessen,NEC Nijmegen,33,89,32.0,43,1.34,178,136,77.5,9,28.1,Eredivisie,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,13,3,Goalkeeper,66.2,22052,17488,98.2,97.7,43.8,0,0.0,0.1,0.0,0,17,0,0,2,1.19,41,43,-2,-0.06,+0.44,44.2,49.9,-5.7,-0.18,-0.98,jasper-cillessen89,Netherlands,Goalkeeper,right,187.0,3000000,1000000.0,Summer,4.799999999999997
76,Jeffrey De Lange,Go Ahead Eag,24,98,34.0,56,1.65,172,117,68.6,8,23.5,Eredivisie,0,0,0,0,0,0,0,,0,1,0,1,0,0,9,1,Goalkeeper,71.8,26369,20494,99.0,98.7,49.0,0,0.0,0.1,0.0,1,30,0,0,0,1.18,46,56,-10,-0.29,,45.0,48.4,-3.4,-0.10,,jeffrey-de-lange98,Netherlands,Goalkeeper,right,190.0,650000,0.0,Summer,-13.940000000000003
