,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
89,Gabriel Batista,Santa Clara,24,98,26.0,49,1.88,129,82,66.7,4,15.4,Liga Nos,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,0,Goalkeeper,62.4,20379,16495,100.0,97.5,48.4,0,0.1,0.1,-0.1,1,28,1,0,0,0.65,21,49,-28,-1.08,-0.58,28.7,42.3,-13.6,-0.52,-0.16,gabriel-batista98,Brazil,Goalkeeper,right,188.0,500000,0.0,Summer,-28.860000000000003
90,Celton Biai,Vitória,21,00,5.0,11,2.20,22,12,54.5,1,20.0,Liga Nos,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Goalkeeper,64.5,3006,2225,93.3,96.0,42.7,0,0.0,0.0,0.0,0,3,1,0,0,0.20,3,11,-8,-1.6,-1.70,3.8,7.3,-3.5,-0.71,-0.62,celton-biai00,Portugal,Goalkeeper,right,188.0,500000,0.0,Summer,-7.550000000000001
91,Fabijan Buntić,Vizela,25,97,33.0,37,1.12,133,95,77.4,11,33.3,Liga Nos,0,0,0,0,0,0,0,,0,1,0,1,0,0,19,2,Goalkeeper,71.7,17607,12832,99.4,97.9,45.2,0,0.0,0.3,0.0,0,15,0,0,0,1.21,34,37,-3,-0.09,+0.91,41.8,39.5,+2.3,+0.07,+1.83,fabijan-buntic97,Germany,Goalkeeper,left,194.0,800000,0.0,Summer,15.509999999999996
92,Marcelo Carné,Marítimo,32,90,14.0,24,1.71,68,45,69.1,2,14.3,Liga Nos,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,0,Goalkeeper,72.8,8502,6295,98.4,98.4,42.4,0,0.0,0.0,0.0,0,5,0,0,0,1.14,18,24,-6,-0.43,+0.82,20.8,22.4,-1.6,-0.12,+0.44,marcelo-carne90,Brazil,Goalkeeper,right,188.0,250000,0.0,Winter,-13.44
93,Giorgi Makaridze,Marítimo,32,90,6.0,11,1.83,20,9,55.0,1,16.7,Liga Nos,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Goalkeeper,74.2,4389,3024,100.0,95.7,47.5,0,0.0,0.0,0.0,0,1,0,0,0,0.50,5,11,-6,-1.0,-0.11,7.1,7.2,-0.2,-0.03,+0.42,giorgi-makaridze90,UdSSR,Goalkeeper,right,194.0,700000,0.0,Winter,-9.18
94,Matouš Trmal,Marítimo,23,98,6.0,5,0.83,26,21,84.6,2,33.3,Liga Nos,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Goalkeeper,75.3,3319,2184,100.0,100.0,36.6,0,0.0,0.0,0.0,0,0,0,0,0,1.00,4,5,-1,-0.17,+0.90,8.6,9.3,-0.7,-0.11,+0.32,matous-trmal98,Czech Republic,Goalkeeper,right,192.0,700000,50000.0,Summer,-4.2
95,César,Boavista,30,92,5.0,9,1.80,15,6,46.7,1,20.0,Liga Nos,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Goalkeeper,70.4,2403,1632,100.0,100.0,45.5,0,0.0,0.0,0.0,0,0,0,0,0,1.80,5,9,-4,-0.8,-0.56,4.4,6.4,-2.0,-0.40,-0.23,cesar92,Brazil,Goalkeeper,right,192.0,200000,0.0,Summer,-4.15
96,Ignacio De Arruabarrena,Arouca,25,97,30.0,32,1.07,134,99,79.1,13,43.3,Liga Nos,3,1,3,0,0,2,2,100.0,0,2,0,2,0,3,15,2,Goalkeeper,66.8,20150,15652,99.3,99.3,44.8,1,0.4,0.1,+0.6,3,16,1,0,0,1.70,32,32,0,0.0,+0.25,35.1,45.7,-10.6,-0.35,-0.32,ignacio-de-arruabarrena97,Uruguay,Goalkeeper,right,185.0,700000,0.0,Summer,14.1
97,João Valido,Arouca,22,00,0.0,0,0.00,0,0,,1,,Liga Nos,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,100.0,57,57,,,100.0,0,0.0,0.0,0.0,0,0,0,0,0,3.00,0,0,0,0.0,+0.03,0.0,0.0,0.0,0.00,+0.32,joao-valido00,Portugal,Goalkeeper,right,185.0,100000,0.0,Summer,0.0
98,Franco Israel,Sporting CP,22,00,3.0,3,1.00,4,1,25.0,1,33.3,Liga Nos,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,91.3,2151,1258,100.0,100.0,62.5,0,0.0,0.0,0.0,0,0,0,0,0,2.33,7,3,+4,1.33,+0.20,5.7,2.8,+2.9,+0.96,-0.28,franco-israel00,Uruguay,Goalkeeper,right,190.0,1000000,650000.0,Summer,3.12
99,Stanislav Kritsyuk,Gil Vicente FC,31,90,10.3,15,1.45,55,40,74.5,1,9.1,Liga Nos,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,Goalkeeper,83.5,8814,6021,97.9,99.4,63.3,0,0.0,0.0,0.0,0,0,0,0,0,1.18,11,15,-4,-0.39,-0.18,12.8,17.6,-4.8,-0.46,-0.26,stanislav-kritsyuk90,UdSSR,Goalkeeper,right,192.0,1500000,0.0,Summer,-4.3260000000000005
100,Samuel Soares,Benfica,20,02,0.0,0,0.00,1,1,100.0,1,,Liga Nos,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,75.0,74,59,100.0,,50.0,0,0.0,0.0,0.0,0,0,0,0,0,3.00,0,0,0,0.0,-1.83,0.0,0.1,-0.1,-2.68,-4.57,samuel-soares02,Portugal,Goalkeeper,right,190.0,2000000,0.0,Summer,0.0
