Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/84625/Show/Ibragim-Tsallagov,	173,Ibragim Tsallagov,https://www.whoscored.com/Teams/8726/Show/Russia-PFC-Sochi,"PFC Sochi, ",33,",  D(LR),DMC,M(R)  ",13(5),1193	,1	,-	,3	,0.9	,79.3	,0.9	,-	,6.49
https://www.whoscored.com/Players/244050/Show/Dmitri-Zhivoglyadov,	174,Dmitri Zhivoglyadov,https://www.whoscored.com/Teams/668/Show/Russia-Lokomotiv-Moscow,"Lokomotiv Moscow, ",29,",  D(CLR),M(R)  ",12(4),1111	,-	,3	,1	,0.4	,75.7	,0.4	,-	,6.49
https://www.whoscored.com/Players/433914/Show/Butta-Magomedov,	175,Butta Magomedov,https://www.whoscored.com/Teams/2059/Show/Russia-Khimki,"Khimki, ",26,",  M(C)  ",19(3),1552	,5	,-	,3	,2	,78	,0.5	,-	,6.49
https://www.whoscored.com/Players/120906/Show/Sergey-Terekhov,	176,Sergey Terekhov,https://www.whoscored.com/Teams/8726/Show/Russia-PFC-Sochi,"PFC Sochi, ",33,",  D(CL),DMC,M(L)  ",27,2381	,-	,2	,8	,0.4	,80.7	,0.8	,1	,6.49
https://www.whoscored.com/Players/404283/Show/Mario-Mitaj,	177,Mario Mitaj,https://www.whoscored.com/Teams/668/Show/Russia-Lokomotiv-Moscow,"Lokomotiv Moscow, ",20,",  D(L),DMC  ",4(10),586	,-	,-	,1	,0.1	,84.2	,0.7	,-	,6.49
https://www.whoscored.com/Players/354069/Show/Mikhail-Ignatov,	178,Mikhail Ignatov,https://www.whoscored.com/Teams/840/Show/Russia-Spartak-Moscow,"Spartak Moscow, ",23,",  AM(CR),FW  ",18(3),1239	,2	,2	,2	,1.1	,72.9	,0.5	,-	,6.48
https://www.whoscored.com/Players/364107/Show/Aleksey-Mironov,	179,Aleksey Mironov,https://www.whoscored.com/Teams/562/Show/Russia-FC-Rostov,"FC Rostov, ",24,",  M(C)  ",14(12),1388	,1	,1	,9	,1.3	,78.9	,0.2	,1	,6.48
https://www.whoscored.com/Players/412311/Show/Ivan-Lomaev,	180,Ivan Lomaev,https://www.whoscored.com/Teams/997/Show/Russia-Krylya-Sovetov-Samara,"Krylya Sovetov Samara, ",25,",  GK  ",22,1911	,-	,-	,3	,-	,71.2	,-	,-	,6.48
https://www.whoscored.com/Players/360818/Show/Danil-Krugovoy,	181,Danil Krugovoy,https://www.whoscored.com/Teams/560/Show/Russia-Zenit,"Zenit, ",25,",  D(L),M(L)  ",5(14),614	,-	,-	,1	,0.4	,81.2	,0.6	,-	,6.47
https://www.whoscored.com/Players/124454/Show/Brian-Idowu,	182,Brian Idowu,https://www.whoscored.com/Teams/2059/Show/Russia-Khimki,"Khimki, ",31,",  D(CLR),M(CLR)  ",13(3),1201	,-	,-	,3	,0.4	,72.3	,1	,-	,6.47
https://www.whoscored.com/Players/75477/Show/Sergey-Petrov,	183,Sergey Petrov,https://www.whoscored.com/Teams/7164/Show/Russia-FC-Krasnodar,"FC Krasnodar, ",33,",  D(LR),M(C)  ",9(10),863	,1	,-	,2	,0.2	,86.3	,0.5	,1	,6.46
