Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/239806/Show/Jean-Charles-Castelletto,	139,Jean-Charles Castelletto,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",29,",  D(CR)  ",30(2),2569	,-	,-	,3	,-	,0.3	,82.8	,2.4	,-	,6.69
https://www.whoscored.com/Players/26820/Show/Aaron-Ramsey,	140,Aaron Ramsey,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",33,",  M(CLR)  ",18(9),1588	,1	,1	,3	,-	,0.8	,87.8	,0.2	,1	,6.69
https://www.whoscored.com/Players/367181/Show/Tiago-Djal%C3%B3,	141,Tiago Djaló,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",24,",  D(CLR)  ",24(1),2022	,2	,-	,7	,-	,0.6	,93.1	,1.1	,1	,6.69
https://www.whoscored.com/Players/444788/Show/G%C3%A9d%C3%A9on-Kalulu,	142,Gédéon Kalulu,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",26,",  D(R),M(R)  ",28(1),2442	,-	,4	,6	,-	,0.3	,82	,1	,1	,6.69
https://www.whoscored.com/Players/342550/Show/Nuno-da-Costa,	143,Nuno da Costa,https://www.whoscored.com/Teams/308/Show/France-Auxerre,"Auxerre, ",33,",  AM(CLR),FW  ",23(10),2017	,5	,4	,3	,1	,1.2	,69.9	,1.4	,3	,6.69
https://www.whoscored.com/Players/71833/Show/Anthony-Lopes,	144,Anthony Lopes,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",33,",  GK  ",32,2817	,-	,-	,2	,1	,-	,74.3	,0.1	,-	,6.69
https://www.whoscored.com/Players/260770/Show/Alexander-N%C3%BCbel,	145,Alexander Nübel,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",27,",  GK  ",38,3420	,-	,-	,2	,-	,-	,69.4	,0.2	,1	,6.68
https://www.whoscored.com/Players/380645/Show/Joris-Chotard,	146,Joris Chotard,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",22,",  DMC  ",26(9),2461	,-	,6	,4	,-	,0.3	,81.3	,0.4	,1	,6.67
https://www.whoscored.com/Players/84899/Show/Nicolas-Pallois,	147,Nicolas Pallois,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",36,",  D(C)  ",26,2217	,1	,-	,2	,1	,0.3	,83.8	,1.3	,1	,6.67
https://www.whoscored.com/Players/14058/Show/Dimitri-Payet,	148,Dimitri Payet,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",37,",  M(CLR),FW  ",9(15),828	,4	,3	,-	,-	,1.2	,80.3	,0.2	,2	,6.67
https://www.whoscored.com/Players/366875/Show/Bafod%C3%A9-Diakit%C3%A9,	149,Bafodé Diakité,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",23,",  D(CR)  ",29(4),2656	,3	,-	,6	,-	,0.6	,89.8	,1.2	,1	,6.66
https://www.whoscored.com/Players/398931/Show/Lilian-Brassier,	150,Lilian Brassier,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",24,",  D(CL)  ",35(1),3094	,-	,-	,5	,-	,0.6	,78.2	,1.7	,-	,6.66
https://www.whoscored.com/Players/416149/Show/Anthony-Rouault,	151,Anthony Rouault,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",22,",  D(C)  ",37,3316	,2	,-	,2	,1	,0.5	,87.5	,2.4	,2	,6.65
https://www.whoscored.com/Players/399708/Show/Maximiliano-Caufriez,	152,Maximiliano Caufriez,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",27,",  D(CR)  ",25(1),2224	,1	,-	,8	,1	,0.5	,88.7	,0.8	,1	,6.65
https://www.whoscored.com/Players/236523/Show/Maxime-Le-Marchand,	153,Maxime Le Marchand,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",34,",  D(CL)  ",23(3),2018	,-	,-	,4	,1	,0.3	,79.9	,2.3	,-	,6.65
https://www.whoscored.com/Players/276898/Show/Grejohn-Kyei,	154,Grejohn Kyei,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",28,",  FW  ",26(11),2244	,10	,3	,3	,-	,1.6	,72.4	,1.3	,5	,6.65
https://www.whoscored.com/Players/379687/Show/Thijs-Dallinga,	155,Thijs Dallinga,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",23,",  FW  ",28(8),2363	,12	,1	,4	,-	,1.7	,65	,1.6	,1	,6.65
https://www.whoscored.com/Players/295456/Show/Ruslan-Malinovskyi,	156,Ruslan Malinovskyi,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",30,",  M(CLR),FW  ",13(7),1232	,1	,1	,4	,-	,1.8	,79.8	,0.8	,-	,6.65
https://www.whoscored.com/Players/432173/Show/Isma%C3%ABl-Doukour%C3%A9,	157,Ismaël Doukouré,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",20,",  D(C),DMC  ",25(3),2301	,1	,1	,5	,-	,0.3	,83.2	,1.1	,-	,6.65
https://www.whoscored.com/Players/409837/Show/Mostafa-Mohamed,	158,Mostafa Mohamed,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",26,",  FW  ",18(18),1936	,8	,2	,1	,-	,1.6	,62.6	,2.1	,1	,6.64
https://www.whoscored.com/Players/294502/Show/Julien-Laporte,	159,Julien Laporte,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",30,",  D(C)  ",19(1),1656	,-	,-	,1	,-	,0.3	,85.4	,1.6	,-	,6.64
https://www.whoscored.com/Players/444598/Show/Eliesse-Ben-Seghir,	160,Eliesse Ben Seghir,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",19,",  FW  ",13(6),1060	,4	,1	,1	,-	,1.1	,79.6	,0.5	,1	,6.64
https://www.whoscored.com/Players/82350/Show/Vincent-Le-Goff,	161,Vincent Le Goff,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",34,",  D(CL),M(L)  ",37,3330	,-	,-	,1	,-	,0.5	,83.9	,0.8	,-	,6.63
https://www.whoscored.com/Players/349960/Show/Mahdi-Camara,	162,Mahdi Camara,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",25,",  D(CR),M(C)  ",20(11),1825	,2	,-	,4	,1	,0.8	,84.2	,0.6	,-	,6.63
https://www.whoscored.com/Players/328983/Show/Matt%C3%A9o-Guendouzi,	163,Mattéo Guendouzi,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",25,",  M(C)  ",25(8),2113	,2	,4	,3	,-	,0.8	,87.9	,0.7	,-	,6.63
https://www.whoscored.com/Players/239879/Show/Hamza-Sakhi,	164,Hamza Sakhi,https://www.whoscored.com/Teams/308/Show/France-Auxerre,"Auxerre, ",27,",  AM(C)  ",18(9),1660	,1	,2	,1	,-	,1.1	,86.4	,0.2	,2	,6.63
https://www.whoscored.com/Players/398299/Show/Lucas-Chevalier,	165,Lucas Chevalier,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",22,",  GK  ",32,2880	,-	,-	,1	,-	,-	,74.2	,0.1	,-	,6.63
https://www.whoscored.com/Players/296241/Show/Flavien-Tait,	166,Flavien Tait,https://www.whoscored.com/Teams/313/Show/France-Rennes,"Rennes, ",31,",  M(CLR)  ",19(11),1685	,2	,2	,2	,-	,0.8	,86.5	,0.2	,1	,6.62
https://www.whoscored.com/Players/384005/Show/Arnaud-Kalimuendo,	167,Arnaud Kalimuendo,https://www.whoscored.com/Teams/313/Show/France-Rennes,"Rennes, ",22,",  FW  ",24(6),1862	,7	,3	,-	,-	,1.4	,84.4	,0.4	,1	,6.62
https://www.whoscored.com/Players/236556/Show/Xavier-Chavalerin,	168,Xavier Chavalerin,https://www.whoscored.com/Teams/229/Show/France-Troyes,"Troyes, ",33,",  DMC,M(L)  ",25(9),2422	,4	,2	,3	,-	,0.8	,83.7	,0.5	,-	,6.62
https://www.whoscored.com/Players/78386/Show/Matz-Sels,	169,Matz Sels,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",32,",  GK  ",38,3420	,-	,-	,2	,-	,-	,60.1	,0.2	,2	,6.61
https://www.whoscored.com/Players/71381/Show/Wahbi-Khazri,	170,Wahbi Khazri,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",33,",  M(CLR),FW  ",20(7),1644	,4	,1	,5	,1	,1.4	,74.8	,0.7	,-	,6.61
https://www.whoscored.com/Players/444816/Show/Isaak-Tour%C3%A9,	171,Isaak Touré,https://www.whoscored.com/Teams/308/Show/France-Auxerre,"Auxerre, ",21,",  D(C)  ",18(1),1591	,1	,-	,3	,1	,0.4	,87.5	,1.3	,1	,6.61
https://www.whoscored.com/Players/404108/Show/Jens-Cajuste,	172,Jens Cajuste,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",24,",  DMC  ",14(17),1529	,3	,1	,7	,1	,0.9	,82.8	,0.4	,-	,6.61
https://www.whoscored.com/Players/117776/Show/Thiago-Mendes,	173,Thiago Mendes,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",32,",  D(CR),M(CR)  ",22(9),2065	,1	,1	,3	,-	,0.5	,87	,1.1	,-	,6.61
https://www.whoscored.com/Players/455521/Show/Sa%C3%ABl-Kumbedi,	174,Saël Kumbedi,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",19,",  D(R),M(R)  ",14(6),1317	,-	,2	,8	,-	,0.5	,83.6	,0.4	,-	,6.61
https://www.whoscored.com/Players/247992/Show/Mateusz-Wieteska,	175,Mateusz Wieteska,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",27,",  D(C)  ",35,3120	,-	,1	,7	,1	,0.5	,82.8	,2.2	,1	,6.61
https://www.whoscored.com/Players/115882/Show/Thomas-Foket,	176,Thomas Foket,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",29,",  D(CLR),M(R)  ",23(1),1983	,-	,1	,-	,-	,0.1	,82.9	,0.5	,-	,6.61
https://www.whoscored.com/Players/106894/Show/Juan-Bernat,	177,Juan Bernat,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",31,",  D(L),M(CL)  ",18(10),1648	,1	,4	,1	,-	,0.3	,93.3	,0.2	,-	,6.61
https://www.whoscored.com/Players/234371/Show/Gauthier-Gallon,	178,Gauthier Gallon,https://www.whoscored.com/Teams/229/Show/France-Troyes,"Troyes, ",31,",  GK  ",30,2668	,-	,-	,3	,1	,-	,61.1	,0.5	,1	,6.60
https://www.whoscored.com/Players/328433/Show/Thibault-De-Smet,	179,Thibault De Smet,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",25,",  D(L),M(L)  ",20(2),1762	,-	,1	,2	,-	,-	,79	,1.4	,-	,6.60
https://www.whoscored.com/Players/19453/Show/Kevin-Gameiro,	180,Kevin Gameiro,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",36,",  AM(C),FW  ",23(11),2103	,10	,-	,-	,1	,1.4	,80.4	,0.4	,1	,6.60
https://www.whoscored.com/Players/103542/Show/Yvon-Mvogo,	181,Yvon Mvogo,https://www.whoscored.com/Teams/146/Show/France-Lorient,"Lorient, ",29,",  GK  ",21,1813	,-	,-	,-	,-	,-	,71.5	,0.2	,-	,6.59
https://www.whoscored.com/Players/405113/Show/Jackson-Porozo,	182,Jackson Porozo,https://www.whoscored.com/Teams/229/Show/France-Troyes,"Troyes, ",23,",  D(C)  ",17(5),1616	,2	,-	,3	,-	,1	,81.6	,2.1	,1	,6.59
https://www.whoscored.com/Players/422818/Show/Habib-Diarra,	183,Habib Diarra,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",20,",  AM(CLR)  ",18(11),1628	,3	,2	,4	,-	,0.8	,80.6	,0.4	,1	,6.59
https://www.whoscored.com/Players/115531/Show/Birama-Tour%C3%A9,	184,Birama Touré,https://www.whoscored.com/Teams/308/Show/France-Auxerre,"Auxerre, ",31,",  DMC  ",38,3405	,2	,-	,3	,-	,0.7	,81.1	,1.5	,-	,6.59
https://www.whoscored.com/Players/375340/Show/Lucas-Perrin,	185,Lucas Perrin,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",25,",  D(C)  ",18(8),1763	,-	,1	,4	,-	,0.3	,82.2	,1.4	,-	,6.59
https://www.whoscored.com/Players/403784/Show/Hugo-Ekitike,	186,Hugo Ekitike,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",21,",  FW  ",12(13),1155	,3	,4	,-	,-	,1.4	,82.6	,0.3	,-	,6.59
https://www.whoscored.com/Players/19859/Show/Jos%C3%A9-Fonte,	187,José Fonte,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",40,",  D(C)  ",30(1),2593	,1	,-	,7	,-	,0.5	,90.3	,2	,1	,6.58
https://www.whoscored.com/Players/323791/Show/Yan-Valery,	188,Yan Valery,https://www.whoscored.com/Teams/614/Show/France-Angers,"Angers, ",25,",  D(CR),M(R)  ",30,2504	,-	,-	,3	,-	,0.4	,78.2	,1.2	,-	,6.57
https://www.whoscored.com/Players/84477/Show/Elbasan-Rashani,	189,Elbasan Rashani,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",30,",  AM(CLR)  ",26(6),2173	,3	,3	,3	,-	,1.1	,80.3	,0.5	,1	,6.57
https://www.whoscored.com/Players/399955/Show/Issa-Kabor%C3%A9,	190,Issa Kaboré,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",22,",  D(R),M(R)  ",9(13),1022	,1	,-	,1	,-	,0.4	,81.6	,0.1	,-	,6.57
https://www.whoscored.com/Players/344645/Show/Ignatius-Ganago,	191,Ignatius Ganago,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",25,",  AM(LR),FW  ",16(12),1520	,5	,3	,-	,-	,1.2	,64.8	,2.2	,-	,6.56
https://www.whoscored.com/Players/444512/Show/Mouna%C3%AFm-El-Idrissy,	192,Mounaïm El Idrissy,https://www.whoscored.com/Teams/610/Show/France-AC-Ajaccio,"AC Ajaccio, ",25,",  FW  ",30(2),2509	,6	,-	,10	,-	,1.6	,69	,3.7	,2	,6.56
