Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/364716/Show/Bryan-Reynolds,	112,Bryan Reynolds,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",22,",  D(R),M(R)  ",24(3),2080	,1	,2	,4	,0.3	,81.8	,0.6	,-	,6.73
https://www.whoscored.com/Players/443088/Show/Lukas-Van-Eenoo,	113,Lukas Van Eenoo,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",33,",  DMC  ",19(3),1744	,2	,2	,2	,1	,86	,0.9	,-	,6.73
https://www.whoscored.com/Players/52197/Show/Simon-Mignolet,	114,Simon Mignolet,https://www.whoscored.com/Teams/124/Show/Belgium-Club-Bruges,"Club Bruges, ",36,",  GK  ",34,3060	,-	,-	,-	,-	,70.8	,0.2	,-	,6.73
https://www.whoscored.com/Players/400137/Show/Killian-Sardella,	115,Killian Sardella,https://www.whoscored.com/Teams/240/Show/Belgium-Anderlecht,"Anderlecht, ",22,",  D(CLR)  ",12(4),1120	,-	,2	,3	,0.3	,85.8	,1.3	,-	,6.73
https://www.whoscored.com/Players/444758/Show/Dorgeles-Nene,	116,Dorgeles Nene,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",21,",  AM(L),FW  ",15(14),1484	,8	,3	,3	,1.5	,78.2	,0.2	,2	,6.72
https://www.whoscored.com/Players/383691/Show/Carlos-Cuesta,	117,Carlos Cuesta,https://www.whoscored.com/Teams/140/Show/Belgium-Genk,"Genk, ",25,",  D(C)  ",29,2532	,1	,-	,5	,0.4	,90	,1.7	,-	,6.71
https://www.whoscored.com/Players/433572/Show/Bilal-El-Khannouss,	118,Bilal El Khannouss,https://www.whoscored.com/Teams/140/Show/Belgium-Genk,"Genk, ",19,",  AM(C)  ",31(2),2231	,1	,3	,2	,1.3	,78.2	,0.6	,-	,6.71
https://www.whoscored.com/Players/31856/Show/Ritchie-De-Laet,	119,Ritchie De Laet,https://www.whoscored.com/Teams/752/Show/Belgium-Royal-Antwerp,"Royal Antwerp, ",35,",  D(CLR)  ",23(7),2069	,1	,3	,11	,0.6	,82.1	,0.9	,1	,6.71
https://www.whoscored.com/Players/407510/Show/Lazare-Amani,	120,Lazare Amani,https://www.whoscored.com/Teams/2647/Show/Belgium-Union-St-Gilloise,"Union St.Gilloise, ",26,",  AM(C)  ",28(2),2160	,2	,4	,7	,1.1	,79	,0.2	,2	,6.70
https://www.whoscored.com/Players/118234/Show/Andrew-Hjulsager,	121,Andrew Hjulsager,https://www.whoscored.com/Teams/231/Show/Belgium-Gent,"Gent, ",29,",  M(CLR),FW  ",14(6),1150	,2	,3	,-	,0.9	,74.1	,0.2	,1	,6.70
https://www.whoscored.com/Players/108105/Show/Paul-Nardi,	122,Paul Nardi,https://www.whoscored.com/Teams/231/Show/Belgium-Gent,"Gent, ",29,",  GK  ",24,2160	,-	,-	,1	,-	,67.7	,0.1	,-	,6.70
https://www.whoscored.com/Players/454674/Show/Abu-Francis,	123,Abu Francis,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",23,",  DMC  ",16(10),1644	,1	,3	,4	,1	,66.1	,1.4	,-	,6.69
https://www.whoscored.com/Players/107510/Show/Valentin-Cojocaru,	124,Valentin Cojocaru,https://www.whoscored.com/Teams/1406/Show/Belgium-OH-Leuven,"OH Leuven, ",28,",  GK  ",34,3060	,-	,-	,1	,-	,74.7	,0.3	,1	,6.69
https://www.whoscored.com/Players/420402/Show/Siebe-Van-der-Heyden,	125,Siebe Van der Heyden,https://www.whoscored.com/Teams/2647/Show/Belgium-Union-St-Gilloise,"Union St.Gilloise, ",25,",  D(C)  ",27,2352	,1	,1	,11	,0.3	,84.3	,2	,-	,6.69
https://www.whoscored.com/Players/68335/Show/Denis-Odoi,	126,Denis Odoi,https://www.whoscored.com/Teams/124/Show/Belgium-Club-Bruges,"Club Bruges, ",35,",  D(CLR),DMC  ",20(5),1890	,-	,-	,7	,0.5	,81.7	,1.1	,-	,6.68
https://www.whoscored.com/Players/420401/Show/Isma%C3%ABl-Kandouss,	127,Ismaël Kandouss,https://www.whoscored.com/Teams/2647/Show/Belgium-Union-St-Gilloise,"Union St.Gilloise, ",26,",  D(C)  ",25(2),2140	,1	,-	,3	,0.5	,83.8	,1.7	,-	,6.68
https://www.whoscored.com/Players/407518/Show/Nicolas-Rommens,	128,Nicolas Rommens,https://www.whoscored.com/Teams/2164/Show/Belgium-Zulte-Waregem,"Zulte Waregem, ",29,",  M(C)  ",28(3),2406	,2	,4	,6	,0.7	,80.1	,1.2	,2	,6.67
https://www.whoscored.com/Players/303208/Show/Radoslaw-Majecki,	129,Radoslaw Majecki,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",24,",  GK  ",28,2476	,-	,-	,1	,-	,41.4	,0.2	,1	,6.66
https://www.whoscored.com/Players/400240/Show/Wolke-Janssens,	130,Wolke Janssens,https://www.whoscored.com/Teams/239/Show/Belgium-St-Truiden,"St.Truiden, ",29,",  D(CR)  ",24(7),2233	,-	,-	,6	,0.1	,80.4	,1.4	,-	,6.66
https://www.whoscored.com/Players/442966/Show/Tom-Vandenberghe,	131,Tom Vandenberghe,https://www.whoscored.com/Teams/886/Show/Belgium-Kortrijk,"Kortrijk, ",31,",  GK  ",17,1530	,-	,-	,-	,-	,57.7	,0.4	,-	,6.66
https://www.whoscored.com/Players/140489/Show/Pieter-Gerkens,	132,Pieter Gerkens,https://www.whoscored.com/Teams/752/Show/Belgium-Royal-Antwerp,"Royal Antwerp, ",29,",  M(CR)  ",16(3),1443	,1	,2	,2	,0.8	,80.2	,2.1	,1	,6.66
https://www.whoscored.com/Players/437430/Show/Abakar-Sylla,	133,Abakar Sylla,https://www.whoscored.com/Teams/124/Show/Belgium-Club-Bruges,"Club Bruges, ",21,",  D(C)  ",14(3),1284	,-	,-	,5	,0.5	,85.9	,1.8	,1	,6.66
