Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/323250/Show/Rub%C3%A9n-Sobrino,	125,Rubén Sobrino,https://www.whoscored.com/Teams/1354/Show/Spain-Cadiz,"Cadiz, ",31,",  AM(CLR),FW  ",28(5),2471	,3	,2	,11	,-	,1	,73.2	,1.8	,1	,6.68
https://www.whoscored.com/Players/76662/Show/Jan-Oblak,	126,Jan Oblak,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",31,",  GK  ",28,2493	,-	,-	,1	,-	,-	,60.9	,0.1	,1	,6.67
https://www.whoscored.com/Players/115996/Show/Omar-Mascarell,	127,Omar Mascarell,https://www.whoscored.com/Teams/833/Show/Spain-Elche,"Elche, ",31,",  D(C),DMC  ",28,2450	,-	,1	,6	,-	,0.3	,86.8	,1	,-	,6.67
https://www.whoscored.com/Players/77417/Show/Nemanja-Gudelj,	128,Nemanja Gudelj,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",32,",  D(C),M(C)  ",31(3),2779	,3	,1	,8	,-	,1.1	,90.5	,1.4	,2	,6.67
https://www.whoscored.com/Players/106586/Show/%C3%8D%C3%B1igo-Ru%C3%ADz-de-Galarreta,	129,Íñigo Ruíz de Galarreta,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",30,",  DMC  ",28(2),2457	,-	,1	,12	,-	,0.3	,85	,0.7	,-	,6.67
https://www.whoscored.com/Players/105591/Show/Suso,	130,Suso,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",30,",  AM(CLR),FW  ",10(15),1063	,2	,4	,1	,-	,1	,87.4	,0.1	,1	,6.67
https://www.whoscored.com/Players/331579/Show/Justin-Kluivert,	131,Justin Kluivert,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",24,",  AM(CLR),FW  ",15(11),1452	,6	,-	,4	,-	,1.7	,78.7	,0.3	,2	,6.66
https://www.whoscored.com/Players/78500/Show/%C3%93scar-De-Marcos,	132,Óscar De Marcos,https://www.whoscored.com/Teams/53/Show/Spain-Athletic-Club,"Athletic Club, ",35,",  D(LR),M(CR)  ",32(5),2824	,1	,6	,7	,-	,0.1	,78.9	,0.7	,1	,6.66
https://www.whoscored.com/Players/135328/Show/Fernando-Mart%C3%ADnez,	133,Fernando Martínez,https://www.whoscored.com/Teams/1799/Show/Spain-Almeria,"Almeria, ",33,",  GK  ",37,3286	,-	,-	,3	,-	,-	,65.1	,0.1	,1	,6.66
https://www.whoscored.com/Players/93492/Show/Aridane-Hern%C3%A1ndez,	134,Aridane Hernández,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",35,",  D(C)  ",20(3),1791	,-	,1	,1	,-	,0.2	,84.4	,1.3	,2	,6.66
https://www.whoscored.com/Players/276489/Show/Alfonso-Pedraza,	135,Alfonso Pedraza,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",28,",  D(L),M(L)  ",20(6),1636	,-	,3	,5	,-	,1	,81.5	,0.5	,-	,6.65
https://www.whoscored.com/Players/427283/Show/Abde-Ezzalzouli,	136,Abde Ezzalzouli,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",22,",  AM(L)  ",19(9),1516	,4	,2	,2	,2	,1.4	,74.2	,0.1	,2	,6.65
https://www.whoscored.com/Players/12575/Show/Ra%C3%BAl-Albiol,	137,Raúl Albiol,https://www.whoscored.com/Teams/839/Show/Spain-Villarreal,"Villarreal, ",38,",  D(C)  ",24(1),2120	,-	,-	,6	,-	,0.1	,88.7	,1.6	,-	,6.65
https://www.whoscored.com/Players/20874/Show/Luka-Modric,	138,Luka Modric,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",38,",  M(C)  ",19(14),1746	,4	,3	,7	,-	,0.9	,90.7	,0.3	,-	,6.65
