Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/372842/Show/Gustavo-Assun%C3%A7%C3%A3o,	263,Gustavo Assunção,https://www.whoscored.com/Teams/935/Show/Portugal-Famalicao,"Famalicao, ",24,",  DMC  ",9(13),952	,1	,1	,10	,-	,0.1	,82.4	,0.5	,-	,6.30
https://www.whoscored.com/Players/381671/Show/Yan-Eteki,	264,Yan Eteki,https://www.whoscored.com/Teams/9509/Show/Portugal-Casa-Pia-AC,"Casa Pia AC, ",26,",  DMC  ",4(13),584	,-	,-	,4	,-	,0.2	,83	,0.2	,-	,6.29
https://www.whoscored.com/Players/444764/Show/Andr%C3%A9zinho,	265,Andrézinho,https://www.whoscored.com/Teams/251/Show/Portugal-Santa-Clara,"Santa Clara, ",27,",  Forward  ",4(14),532	,1	,-	,1	,-	,0.5	,82.3	,0.1	,-	,6.29
https://www.whoscored.com/Players/380620/Show/Anderson-Silva,	266,Anderson Silva,https://www.whoscored.com/Teams/107/Show/Portugal-Vitoria-de-Guimaraes,"Vitoria de Guimaraes, ",26,",  FW  ",14(16),1354	,4	,-	,2	,1	,1.9	,63.6	,0.8	,-	,6.29
https://www.whoscored.com/Players/436559/Show/Clayton,	267,Clayton,https://www.whoscored.com/Teams/9509/Show/Portugal-Casa-Pia-AC,"Casa Pia AC, ",25,",  FW  ",11(18),1164	,4	,-	,6	,1	,1.4	,74.8	,1	,-	,6.29
https://www.whoscored.com/Players/399951/Show/Miguel-Baeza,	268,Miguel Baeza,https://www.whoscored.com/Teams/121/Show/Portugal-Rio-Ave,"Rio Ave, ",24,",  AM(C)  ",14(8),1082	,-	,1	,-	,-	,0.6	,81.8	,0.3	,-	,6.29
https://www.whoscored.com/Players/106216/Show/Hern%C3%A2ni,	269,Hernâni,https://www.whoscored.com/Teams/121/Show/Portugal-Rio-Ave,"Rio Ave, ",32,",  AM(LR)  ",5(16),664	,2	,1	,1	,-	,1.3	,66.4	,-	,-	,6.28
https://www.whoscored.com/Players/271553/Show/Bryan-R%C3%B3chez,	270,Bryan Róchez,https://www.whoscored.com/Teams/1463/Show/Portugal-Portimonense,"Portimonense, ",29,",  FW  ",7(14),890	,1	,2	,2	,-	,1.4	,62.4	,1.7	,-	,6.28
https://www.whoscored.com/Players/422005/Show/Matheus-Costa,	271,Matheus Costa,https://www.whoscored.com/Teams/264/Show/Portugal-Maritimo,"Maritimo, ",29,",  D(C)  ",13(7),1086	,-	,-	,2	,1	,0.3	,83.4	,1.8	,-	,6.28
https://www.whoscored.com/Players/121776/Show/V%C3%ADtor-Gomes,	272,Vítor Gomes,https://www.whoscored.com/Teams/121/Show/Portugal-Rio-Ave,"Rio Ave, ",36,",  M(C)  ",7(13),754	,-	,1	,3	,-	,0.2	,81.7	,0.2	,-	,6.27
https://www.whoscored.com/Players/361919/Show/Osama-Rashid,	273,Osama Rashid,https://www.whoscored.com/Teams/2899/Show/Portugal-Vizela,"Vizela, ",32,",  DMC  ",4(14),368	,1	,-	,3	,-	,0.6	,83.1	,0.5	,-	,6.27
https://www.whoscored.com/Players/407140/Show/Tiago-Ara%C3%BAjo,	274,Tiago Araújo,https://www.whoscored.com/Teams/2188/Show/Portugal-Estoril,"Estoril, ",23,",  D(L),M(L)  ",8(17),871	,1	,-	,3	,-	,0.6	,72.3	,0.6	,-	,6.27
https://www.whoscored.com/Players/333315/Show/Jo%C3%A3o-Gamboa,	275,João Gamboa,https://www.whoscored.com/Teams/2188/Show/Portugal-Estoril,"Estoril, ",27,",  DMC  ",14(3),1051	,-	,-	,5	,-	,0.4	,79	,1	,-	,6.26
https://www.whoscored.com/Players/380685/Show/Uilton,	276,Uilton,https://www.whoscored.com/Teams/786/Show/Portugal-Pacos-de-Ferreira,"Pacos de Ferreira, ",31,",  D(L),M(LR)  ",15(14),1371	,1	,1	,4	,1	,0.6	,81.1	,0.3	,-	,6.26
https://www.whoscored.com/Players/345380/Show/Bilel-Aouacheria,	277,Bilel Aouacheria,https://www.whoscored.com/Teams/290/Show/Portugal-Gil-Vicente,"Gil Vicente, ",30,",  AM(LR),FW  ",8(16),740	,1	,1	,5	,-	,1	,76.4	,0.3	,-	,6.25
https://www.whoscored.com/Players/355704/Show/Jo%C3%A3o-Carlos,	278,João Carlos,https://www.whoscored.com/Teams/2188/Show/Portugal-Estoril,"Estoril, ",29,",  FW  ",5(18),698	,2	,1	,2	,-	,1	,61	,0.9	,1	,6.24
https://www.whoscored.com/Players/444769/Show/Diogo-Pinto,	279,Diogo Pinto,https://www.whoscored.com/Teams/9509/Show/Portugal-Casa-Pia-AC,"Casa Pia AC, ",24,",  Midfielder  ",5(12),457	,-	,2	,1	,-	,0.2	,79.5	,0.1	,-	,6.23
https://www.whoscored.com/Players/149468/Show/Amine-Oudrhiri,	280,Amine Oudrhiri,https://www.whoscored.com/Teams/121/Show/Portugal-Rio-Ave,"Rio Ave, ",31,",  DMC  ",8(11),784	,-	,-	,2	,1	,0.1	,92.2	,0.2	,-	,6.20
https://www.whoscored.com/Players/333111/Show/Mart%C3%ADn-Aguirregabiria,	281,Martín Aguirregabiria,https://www.whoscored.com/Teams/935/Show/Portugal-Famalicao,"Famalicao, ",27,",  D(LR),M(R)  ",2(15),396	,-	,1	,1	,-	,-	,80	,0.1	,-	,6.20
https://www.whoscored.com/Players/380688/Show/Jorge-Silva,	282,Jorge Silva,https://www.whoscored.com/Teams/786/Show/Portugal-Pacos-de-Ferreira,"Pacos de Ferreira, ",28,",  D(R)  ",3(14),456	,-	,-	,-	,-	,0.1	,75.2	,0.5	,-	,6.19
https://www.whoscored.com/Players/342704/Show/Leonardo-Ruiz,	283,Leonardo Ruiz,https://www.whoscored.com/Teams/121/Show/Portugal-Rio-Ave,"Rio Ave, ",28,",  FW  ",8(17),918	,4	,-	,5	,1	,0.9	,79.1	,0.4	,-	,6.19
https://www.whoscored.com/Players/123359/Show/Stefano-Beltrame,	284,Stefano Beltrame,https://www.whoscored.com/Teams/264/Show/Portugal-Maritimo,"Maritimo, ",31,",  M(C)  ",13(7),1062	,-	,-	,3	,-	,0.9	,78.4	,0.3	,-	,6.18
https://www.whoscored.com/Players/423601/Show/Martim-Tavares,	285,Martim Tavares,https://www.whoscored.com/Teams/122/Show/Portugal-Boavista,"Boavista, ",20,",  FW  ",2(20),348	,2	,-	,1	,-	,0.2	,73	,0.3	,-	,6.17
https://www.whoscored.com/Players/431984/Show/Kyosuke-Tagawa,	286,Kyosuke Tagawa,https://www.whoscored.com/Teams/251/Show/Portugal-Santa-Clara,"Santa Clara, ",25,",  FW  ",13(14),1194	,2	,1	,-	,-	,0.5	,61	,1.2	,-	,6.17
https://www.whoscored.com/Players/294243/Show/Luther-Singh,	287,Luther Singh,https://www.whoscored.com/Teams/2008/Show/Portugal-Chaves,"Chaves, ",26,",  AM(LR)  ",5(17),619	,-	,1	,4	,-	,0.4	,80.7	,0.2	,-	,6.17
https://www.whoscored.com/Players/438901/Show/J%C3%B4,	288,Jô,https://www.whoscored.com/Teams/2008/Show/Portugal-Chaves,"Chaves, ",29,",  FW  ",2(18),289	,1	,-	,2	,1	,0.6	,58.6	,1	,-	,6.16
https://www.whoscored.com/Players/406253/Show/Bruno-Marques,	289,Bruno Marques,https://www.whoscored.com/Teams/5948/Show/Portugal-Arouca,"Arouca, ",25,",  Forward  ",0(17),211	,1	,-	,1	,-	,0.8	,63.2	,0.9	,-	,6.16
https://www.whoscored.com/Players/96271/Show/Ars%C3%A9nio,	290,Arsénio,https://www.whoscored.com/Teams/5948/Show/Portugal-Arouca,"Arouca, ",34,",  M(LR)  ",8(23),960	,-	,2	,3	,-	,0.3	,76.3	,0.1	,-	,6.15
https://www.whoscored.com/Players/444682/Show/Chuchu-Ram%C3%ADrez,	291,Chuchu Ramírez,https://www.whoscored.com/Teams/264/Show/Portugal-Maritimo,"Maritimo, ",25,",  FW  ",5(17),572	,1	,-	,1	,-	,1	,75.5	,1	,-	,6.14
https://www.whoscored.com/Players/69742/Show/Rui-Fonte,	292,Rui Fonte,https://www.whoscored.com/Teams/935/Show/Portugal-Famalicao,"Famalicao, ",34,",  M(R),FW  ",3(15),448	,1	,-	,3	,-	,0.4	,79.5	,0.7	,-	,6.11
https://www.whoscored.com/Players/444773/Show/Cuca,	293,Cuca,https://www.whoscored.com/Teams/9509/Show/Portugal-Casa-Pia-AC,"Casa Pia AC, ",33,",  Midfielder  ",2(18),378	,-	,-	,4	,-	,0.2	,80.5	,0.3	,-	,6.10
https://www.whoscored.com/Players/121726/Show/Edgar-Costa,	294,Edgar Costa,https://www.whoscored.com/Teams/264/Show/Portugal-Maritimo,"Maritimo, ",37,",  AM(CLR),FW  ",4(18),463	,-	,1	,6	,2	,0.5	,63.9	,0.2	,-	,6.00
