Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/401098/Show/Junior-Messias,	55,Junior Messias,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",32,",  M(CR),FW  ",19(6),1511	,5	,2	,3	,-	,1.3	,79.1	,1	,2	,6.82
https://www.whoscored.com/Players/64075/Show/Rafael-Tol%C3%B3i,	56,Rafael Tolói,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,"Atalanta, ",33,",  D(C)  ",32,2791	,2	,1	,8	,-	,0.9	,81.3	,1.3	,3	,6.82
https://www.whoscored.com/Players/403647/Show/Morten-Hjulmand,	57,Morten Hjulmand,https://www.whoscored.com/Teams/79/Show/Italy-Lecce,"Lecce, ",24,",  DMC  ",34(1),2963	,-	,4	,9	,1	,0.5	,79.3	,1.2	,5	,6.82
https://www.whoscored.com/Players/135057/Show/Antonio-Sanabria,	58,Antonio Sanabria,https://www.whoscored.com/Teams/72/Show/Italy-Torino,"Torino, ",28,",  FW  ",28(5),2442	,12	,4	,4	,-	,2.1	,76.1	,2.6	,4	,6.82
https://www.whoscored.com/Players/294163/Show/Rade-Krunic,	59,Rade Krunic,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",30,",  M(CL)  ",18(5),1659	,-	,1	,8	,-	,0.6	,85.9	,1.2	,1	,6.81
https://www.whoscored.com/Players/109149/Show/Bryan-Cristante,	60,Bryan Cristante,https://www.whoscored.com/Teams/84/Show/Italy-Roma,"Roma, ",29,",  D(C),M(C)  ",34(2),2945	,1	,1	,8	,1	,0.8	,82.8	,2.1	,3	,6.81
https://www.whoscored.com/Players/70087/Show/Stephan-El-Shaarawy,	70,Stephan El Shaarawy,https://www.whoscored.com/Teams/84/Show/Italy-Roma,"Roma, ",31,",  M(CLR),FW  ",14(15),1523	,7	,2	,3	,-	,1.4	,80.5	,0.6	,2	,6.79
https://www.whoscored.com/Players/319696/Show/Michele-Di-Gregorio,	71,Michele Di Gregorio,https://www.whoscored.com/Teams/269/Show/Italy-Monza,"Monza, ",26,",  GK  ",37,3330	,-	,1	,-	,-	,-	,71.9	,0.1	,3	,6.79
https://www.whoscored.com/Players/280766/Show/J%C3%A9r%C3%A9mie-Boga,	72,Jérémie Boga,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,"Atalanta, ",27,",  AM(CLR),FW  ",5(18),770	,2	,5	,-	,-	,0.6	,85	,0.2	,1	,6.78
https://www.whoscored.com/Players/87449/Show/Marcelo-Brozovic,	73,Marcelo Brozovic,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",31,",  M(CR)  ",19(9),1769	,3	,5	,9	,-	,0.9	,89.6	,0.2	,1	,6.78
https://www.whoscored.com/Players/369688/Show/Nicol%C3%B2-Rovella,	74,Nicolò Rovella,https://www.whoscored.com/Teams/269/Show/Italy-Monza,"Monza, ",22,",  DMC  ",21(4),1749	,1	,2	,6	,1	,0.8	,89.7	,0.4	,-	,6.78
https://www.whoscored.com/Players/254692/Show/Emil-Audero,	75,Emil Audero,https://www.whoscored.com/Teams/271/Show/Italy-Sampdoria,"Sampdoria, ",27,",  GK  ",25,2250	,-	,-	,1	,-	,-	,63.6	,0.2	,5	,6.78
https://www.whoscored.com/Players/105995/Show/Filip-Kostic,	76,Filip Kostic,https://www.whoscored.com/Teams/87/Show/Italy-Juventus,"Juventus, ",31,",  M(LR),FW  ",33(4),2582	,3	,8	,3	,-	,1	,78.1	,0.4	,2	,6.78
https://www.whoscored.com/Players/85070/Show/Marten-de-Roon,	77,Marten de Roon,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,"Atalanta, ",33,",  D(C),DMC  ",34(1),2966	,3	,1	,7	,-	,0.5	,83.6	,1.5	,-	,6.78
https://www.whoscored.com/Players/319785/Show/Nikola-Milenkovic,	78,Nikola Milenkovic,https://www.whoscored.com/Teams/73/Show/Italy-Fiorentina,"Fiorentina, ",26,",  D(CR)  ",23(4),2136	,2	,1	,4	,-	,0.7	,85.9	,2.7	,-	,6.77
https://www.whoscored.com/Players/260498/Show/Davide-Calabria,	79,Davide Calabria,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",27,",  D(LR),M(R)  ",21(4),1697	,1	,4	,6	,-	,0.6	,82.5	,0.5	,-	,6.77
https://www.whoscored.com/Players/90000/Show/Roberto-Pereyra,	80,Roberto Pereyra,https://www.whoscored.com/Teams/86/Show/Italy-Udinese,"Udinese, ",33,",  M(CLR),FW  ",33(1),2837	,5	,7	,7	,-	,1.2	,84.5	,0.1	,3	,6.77
https://www.whoscored.com/Players/73379/Show/Wojciech-Szczesny,	81,Wojciech Szczesny,https://www.whoscored.com/Teams/87/Show/Italy-Juventus,"Juventus, ",34,",  GK  ",28,2473	,-	,-	,-	,-	,-	,75.7	,0.4	,-	,6.77
https://www.whoscored.com/Players/318511/Show/Hirving-Lozano,	82,Hirving Lozano,https://www.whoscored.com/Teams/276/Show/Italy-Napoli,"Napoli, ",28,",  AM(LR),FW  ",20(12),1614	,3	,3	,3	,-	,1.3	,81.7	,0.3	,1	,6.77
https://www.whoscored.com/Players/286828/Show/Riccardo-Orsolini,	83,Riccardo Orsolini,https://www.whoscored.com/Teams/71/Show/Italy-Bologna,"Bologna, ",27,",  M(CR),FW  ",22(10),2122	,11	,4	,6	,2	,2.9	,68.1	,0.5	,3	,6.77
https://www.whoscored.com/Players/333373/Show/Alessandro-Buongiorno,	84,Alessandro Buongiorno,https://www.whoscored.com/Teams/72/Show/Italy-Torino,"Torino, ",24,",  D(C)  ",30(4),2723	,1	,2	,8	,-	,0.6	,85.1	,2.9	,2	,6.77
https://www.whoscored.com/Players/335576/Show/Gabriel-Strefezza,	85,Gabriel Strefezza,https://www.whoscored.com/Teams/79/Show/Italy-Lecce,"Lecce, ",27,",  M(LR)  ",30(5),2464	,8	,4	,5	,-	,2	,69.1	,0.5	,1	,6.77
https://www.whoscored.com/Players/393355/Show/Malick-Thiaw,	86,Malick Thiaw,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",22,",  D(C)  ",15(5),1364	,-	,-	,5	,-	,0.4	,88.4	,2.6	,-	,6.76
https://www.whoscored.com/Players/24845/Show/Edin-Dzeko,	87,Edin Dzeko,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",38,",  FW  ",18(15),1729	,9	,3	,3	,-	,2.2	,72	,1.2	,3	,6.75
