Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/389411/Show/Yassin-Oukili,	205,Yassin Oukili,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",23,",  DMC  ",20(11),1850	,3	,2	,9	,-	,1.1	,77.8	,0.5	,-	,6.50
https://www.whoscored.com/Players/355961/Show/Evert-Linthorst,	206,Evert Linthorst,https://www.whoscored.com/Teams/874/Show/Netherlands-Go-Ahead-Eagles,"Go Ahead Eagles, ",24,",  M(CR)  ",16(7),1449	,1	,-	,2	,-	,0.4	,80.5	,0.7	,-	,6.49
https://www.whoscored.com/Players/105316/Show/Doke-Schmidt,	207,Doke Schmidt,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",32,",  D(CLR)  ",20(5),1672	,-	,-	,5	,-	,0.2	,75.7	,0.8	,-	,6.49
https://www.whoscored.com/Players/19087/Show/Jonathan-de-Guzm%C3%A1n,	208,Jonathan de Guzmán,https://www.whoscored.com/Teams/303/Show/Netherlands-Sparta-Rotterdam,"Sparta Rotterdam, ",36,",  M(CLR)  ",17(4),1410	,2	,1	,4	,-	,0.4	,80.9	,1	,-	,6.49
https://www.whoscored.com/Players/279429/Show/Sai-van-Wermeskerken,	209,Sai van Wermeskerken,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",29,",  D(LR)  ",18(6),1687	,1	,-	,1	,-	,0.6	,82.9	,0.4	,1	,6.48
https://www.whoscored.com/Players/444621/Show/Nathan-Tjoe-A-On,	210,Nathan Tjoe-A-On,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",22,",  D(L)  ",24(5),2277	,1	,1	,-	,-	,0.2	,76.7	,0.5	,1	,6.48
https://www.whoscored.com/Players/399610/Show/Francesco-Antonucci,	211,Francesco Antonucci,https://www.whoscored.com/Teams/762/Show/Netherlands-FC-Volendam,"FC Volendam, ",24,",  AM(L)  ",10(7),903	,2	,1	,2	,-	,1.6	,76.3	,-	,-	,6.48
https://www.whoscored.com/Players/108655/Show/Mitchel-Paulissen,	212,Mitchel Paulissen,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",31,",  AM(CLR),FW  ",23(6),1963	,2	,1	,5	,-	,1.1	,75.5	,1	,-	,6.47
https://www.whoscored.com/Players/97719/Show/Joey-Pelupessy,	213,Joey Pelupessy,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",30,",  DMC  ",14(5),1327	,1	,-	,1	,-	,0.5	,88.9	,1.5	,-	,6.46
https://www.whoscored.com/Players/90696/Show/Florian-Jozefzoon,	214,Florian Jozefzoon,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",33,",  AM(LR)  ",9(17),937	,5	,3	,1	,-	,1.1	,77.4	,0.2	,-	,6.46
https://www.whoscored.com/Players/422635/Show/Ragnar-Oratmangoen,	215,Ragnar Oratmangoen,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",26,",  M(CL)  ",13(6),1112	,-	,1	,1	,-	,0.8	,85.8	,0.7	,-	,6.46
https://www.whoscored.com/Players/379706/Show/Juri%C3%ABn-Gaari,	216,Juriën Gaari,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",30,",  D(CR),M(R)  ",33,2920	,-	,-	,8	,-	,0.2	,84.9	,1.4	,1	,6.46
https://www.whoscored.com/Players/444655/Show/Julius-Dirksen,	217,Julius Dirksen,https://www.whoscored.com/Teams/875/Show/Netherlands-FC-Emmen,"FC Emmen, ",21,",  D(L)  ",15(12),1407	,-	,-	,1	,-	,0.4	,79.1	,0.9	,-	,6.45
https://www.whoscored.com/Players/308754/Show/Lazaros-Lamprou,	218,Lazaros Lamprou,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",26,",  AM(LR),FW  ",16(12),1473	,4	,3	,1	,-	,1.1	,73.4	,0.6	,-	,6.44
https://www.whoscored.com/Players/122206/Show/Richairo-Zivkovic,	219,Richairo Zivkovic,https://www.whoscored.com/Teams/875/Show/Netherlands-FC-Emmen,"FC Emmen, ",27,",  AM(R),FW  ",29(3),2427	,5	,-	,8	,-	,1.5	,70.7	,1.1	,1	,6.44
https://www.whoscored.com/Players/346507/Show/Roberts-Uldrikis,	220,Roberts Uldrikis,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",26,",  AM(C),FW  ",14(14),1331	,1	,-	,4	,-	,1.5	,58	,3.1	,-	,6.43
https://www.whoscored.com/Players/391317/Show/Julen-Lobete,	221,Julen Lobete,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",23,",  FW  ",12(17),1322	,4	,3	,2	,-	,1.2	,78.3	,0.5	,-	,6.43
https://www.whoscored.com/Players/395424/Show/Jos%C3%A9-Font%C3%A1n,	222,José Fontán,https://www.whoscored.com/Teams/874/Show/Netherlands-Go-Ahead-Eagles,"Go Ahead Eagles, ",24,",  D(CL)  ",12(9),1103	,1	,3	,5	,-	,0.3	,76.2	,0.9	,-	,6.43
https://www.whoscored.com/Players/444618/Show/Floris-Smand,	223,Floris Smand,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",21,",  D(C)  ",22(1),1761	,-	,-	,-	,-	,0.2	,90	,1.2	,-	,6.43
https://www.whoscored.com/Players/327724/Show/Simon-Olsson,	224,Simon Olsson,https://www.whoscored.com/Teams/287/Show/Netherlands-SC-Heerenveen,"SC Heerenveen, ",26,",  M(CR)  ",27(6),2176	,-	,2	,2	,-	,0.4	,77.9	,0.7	,-	,6.42
https://www.whoscored.com/Players/444715/Show/Ibrahim-El-Kadiri,	225,Ibrahim El Kadiri,https://www.whoscored.com/Teams/762/Show/Netherlands-FC-Volendam,"FC Volendam, ",22,",  AM(L)  ",8(9),766	,-	,2	,-	,-	,1.2	,86.2	,0.2	,-	,6.42
https://www.whoscored.com/Players/349183/Show/L%C3%A9on-Bergsma,	226,Léon Bergsma,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",27,",  D(C)  ",21(3),1845	,-	,-	,4	,-	,0.3	,83.5	,1.4	,-	,6.42
https://www.whoscored.com/Players/399607/Show/Antoine-Colassin,	227,Antoine Colassin,https://www.whoscored.com/Teams/287/Show/Netherlands-SC-Heerenveen,"SC Heerenveen, ",23,",  AM(L)  ",8(14),745	,3	,-	,3	,-	,1	,69.3	,0.5	,-	,6.42
https://www.whoscored.com/Players/444780/Show/Mayckel-Lahdo,	228,Mayckel Lahdo,https://www.whoscored.com/Teams/243/Show/Netherlands-AZ-Alkmaar,"AZ Alkmaar, ",21,",  AM(R)  ",1(24),542	,2	,1	,1	,-	,0.5	,82.6	,0.2	,-	,6.42
https://www.whoscored.com/Players/364306/Show/Dani%C3%ABl-van-Kaam,	229,Daniël van Kaam,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",23,",  M(CL)  ",26(1),2312	,1	,1	,1	,-	,0.5	,81.7	,0.7	,1	,6.42
https://www.whoscored.com/Players/404776/Show/Ismael-Saibari,	230,Ismael Saibari,https://www.whoscored.com/Teams/129/Show/Netherlands-PSV-Eindhoven,"PSV Eindhoven, ",23,",  AM(CR)  ",5(12),411	,-	,2	,-	,-	,1.1	,82.7	,0.1	,-	,6.40
https://www.whoscored.com/Players/379742/Show/Laros-Duarte,	231,Laros Duarte,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",27,",  DMC  ",19(6),1805	,2	,1	,-	,1	,1.2	,84.6	,0.3	,1	,6.40
https://www.whoscored.com/Players/361778/Show/Silvester-van-der-Water,	232,Silvester van der Water,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",27,",  AM(R)  ",15(8),1194	,1	,-	,3	,-	,0.7	,65.2	,0.3	,-	,6.40
https://www.whoscored.com/Players/366865/Show/Florian-Kr%C3%BCger,	233,Florian Krüger,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",25,",  AM(CLR),FW  ",12(10),1112	,4	,2	,1	,-	,0.8	,69.2	,0.5	,-	,6.39
https://www.whoscored.com/Players/298805/Show/Michael-Verrips,	234,Michael Verrips,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",27,",  GK  ",24,2160	,-	,-	,1	,-	,-	,64.2	,0.3	,-	,6.39
https://www.whoscored.com/Players/422857/Show/Alex-Bangura,	235,Alex Bangura,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",24,",  D(L)  ",28(1),2453	,1	,3	,5	,1	,0.3	,78.8	,0.2	,-	,6.39
https://www.whoscored.com/Players/404777/Show/Mathias-Kj%C3%B8l%C3%B8,	236,Mathias Kjølø,https://www.whoscored.com/Teams/113/Show/Netherlands-Twente,"Twente, ",22,",  DMC  ",11(11),1000	,-	,1	,-	,-	,0.4	,82.2	,0.5	,-	,6.38
https://www.whoscored.com/Players/240976/Show/David-Sambissa,	237,David Sambissa,https://www.whoscored.com/Teams/241/Show/Netherlands-Cambuur,"Cambuur, ",28,",  D(R),M(R)  ",2(16),492	,1	,1	,1	,-	,0.4	,68.3	,0.3	,1	,6.38
https://www.whoscored.com/Players/409129/Show/Jari-Vlak,	238,Jari Vlak,https://www.whoscored.com/Teams/875/Show/Netherlands-FC-Emmen,"FC Emmen, ",25,",  DMC  ",18(13),1684	,1	,-	,4	,-	,0.6	,76.5	,1.4	,-	,6.38
https://www.whoscored.com/Players/395826/Show/Isak-M%C3%A4%C3%A4tt%C3%A4,	239,Isak Määttä,https://www.whoscored.com/Teams/758/Show/Netherlands-FC-Groningen,"FC Groningen, ",22,",  D(L),M(L)  ",32(1),2702	,-	,1	,4	,1	,0.3	,72.2	,0.8	,1	,6.37
https://www.whoscored.com/Players/127137/Show/Zakaria-Bakkali,	240,Zakaria Bakkali,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",28,",  AM(LR)  ",1(17),437	,3	,-	,-	,-	,0.8	,77.6	,-	,-	,6.37
https://www.whoscored.com/Players/148512/Show/Bilal-Ould-Chikh,	241,Bilal Ould-Chikh,https://www.whoscored.com/Teams/762/Show/Netherlands-FC-Volendam,"FC Volendam, ",26,",  AM(CR)  ",10(7),946	,2	,-	,2	,1	,1.1	,73.6	,0.1	,-	,6.37
https://www.whoscored.com/Players/422867/Show/Mees-de-Wit,	242,Mees de Wit,https://www.whoscored.com/Teams/243/Show/Netherlands-AZ-Alkmaar,"AZ Alkmaar, ",26,",  D(C),M(L)  ",2(20),518	,2	,1	,2	,-	,0.4	,82	,0.6	,1	,6.36
https://www.whoscored.com/Players/444652/Show/Rui-Mendes,	243,Rui Mendes,https://www.whoscored.com/Teams/875/Show/Netherlands-FC-Emmen,"FC Emmen, ",24,",  AM(R)  ",16(2),1413	,1	,3	,2	,-	,1	,67.5	,0.4	,1	,6.36
https://www.whoscored.com/Players/437616/Show/Ibrahim-Cissoko,	244,Ibrahim Cissoko,https://www.whoscored.com/Teams/116/Show/Netherlands-NEC-Nijmegen,"NEC Nijmegen, ",21,",  AM(L)  ",9(17),853	,2	,-	,-	,-	,0.9	,76	,0.2	,-	,6.36
https://www.whoscored.com/Players/444624/Show/Serano-Seymor,	245,Serano Seymor,https://www.whoscored.com/Teams/867/Show/Netherlands-Excelsior,"Excelsior, ",22,",  D(C)  ",10(11),1123	,1	,-	,1	,-	,0.1	,82.1	,0.7	,-	,6.36
https://www.whoscored.com/Players/63885/Show/Vurnon-Anita,	246,Vurnon Anita,https://www.whoscored.com/Teams/114/Show/Netherlands-RKC-Waalwijk,"RKC Waalwijk, ",35,",  D(LR),DMC,M(R)  ",30(4),2771	,2	,2	,3	,-	,0.3	,83.5	,0.2	,-	,6.36
