Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/423720/Show/Evan-Ferguson,	140,Evan Ferguson,https://www.whoscored.com/Teams/211/Show/England-Brighton,"Brighton, ",19,",  FW  ",10(9),952	,6	,2	,1	,1.9	,81.1	,0.5	,-	,6.67
https://www.whoscored.com/Players/79554/Show/David-de-Gea,	141,David de Gea,https://www.whoscored.com/Teams/32/Show/England-Man-Utd,"Man Utd, ",33,",  GK  ",38,3420	,-	,-	,-	,-	,68.3	,0.1	,1	,6.67
https://www.whoscored.com/Players/136742/Show/Jan-Bednarek,	142,Jan Bednarek,https://www.whoscored.com/Teams/18/Show/England-Southampton,"Southampton, ",28,",  D(C)  ",20,1674	,-	,-	,5	,0.4	,84.2	,2.1	,-	,6.67
https://www.whoscored.com/Players/355609/Show/Pascal-Struijk,	143,Pascal Struijk,https://www.whoscored.com/Teams/19/Show/England-Leeds,"Leeds, ",24,",  D(CL),DMC  ",26(3),2205	,2	,1	,5	,0.6	,79.5	,2.1	,-	,6.66
https://www.whoscored.com/Players/117973/Show/Eric-Dier,	144,Eric Dier,https://www.whoscored.com/Teams/30/Show/England-Tottenham,"Tottenham, ",30,",  D(CR),DMC  ",31(2),2817	,2	,1	,3	,0.5	,85.9	,2.4	,1	,6.66
https://www.whoscored.com/Players/85006/Show/Tim-Ream,	145,Tim Ream,https://www.whoscored.com/Teams/170/Show/England-Fulham,"Fulham, ",36,",  D(CL),DMC  ",33,2899	,1	,-	,2	,0.1	,87	,1.5	,1	,6.66
https://www.whoscored.com/Players/300359/Show/Issa-Diop,	146,Issa Diop,https://www.whoscored.com/Teams/170/Show/England-Fulham,"Fulham, ",27,",  D(C)  ",21(4),2009	,1	,-	,2	,0.1	,87.1	,1.3	,-	,6.66
https://www.whoscored.com/Players/91822/Show/Jeffrey-Schlupp,	147,Jeffrey Schlupp,https://www.whoscored.com/Teams/162/Show/England-Crystal-Palace,"Crystal Palace, ",31,",  D(L),M(CLR)  ",30(4),2546	,3	,1	,7	,0.8	,75.5	,0.8	,1	,6.66
https://www.whoscored.com/Players/331382/Show/Harvey-Barnes,	148,Harvey Barnes,https://www.whoscored.com/Teams/14/Show/England-Leicester,"Leicester, ",26,",  AM(CL)  ",32(2),2720	,13	,1	,3	,2.1	,73.5	,0.9	,-	,6.66
https://www.whoscored.com/Players/299693/Show/Wout-Faes,	149,Wout Faes,https://www.whoscored.com/Teams/14/Show/England-Leicester,"Leicester, ",26,",  D(CL)  ",31,2787	,1	,2	,4	,0.4	,85.8	,1.9	,-	,6.66
https://www.whoscored.com/Players/80464/Show/Idrissa-Gueye,	150,Idrissa Gueye,https://www.whoscored.com/Teams/31/Show/England-Everton,"Everton, ",34,",  M(C)  ",32(1),2594	,-	,1	,7	,0.5	,84.5	,0.8	,-	,6.65
https://www.whoscored.com/Players/133464/Show/Jefferson-Lerma,	151,Jefferson Lerma,https://www.whoscored.com/Teams/183/Show/England-Bournemouth,"Bournemouth, ",29,",  D(CR),DMC  ",37,3256	,5	,-	,7	,0.9	,82.2	,1.7	,1	,6.65
https://www.whoscored.com/Players/363496/Show/Marc-Cucurella,	152,Marc Cucurella,https://www.whoscored.com/Teams/15/Show/England-Chelsea,"Chelsea, ",25,",  D(CL),M(L)  ",21(3),1679	,-	,2	,4	,0.3	,86.4	,0.7	,-	,6.65
https://www.whoscored.com/Players/43105/Show/Joel-Ward,	153,Joel Ward,https://www.whoscored.com/Teams/162/Show/England-Crystal-Palace,"Crystal Palace, ",34,",  D(CLR),DMC,M(R)  ",24(4),2256	,1	,-	,6	,0.3	,75.4	,2.1	,-	,6.65
https://www.whoscored.com/Players/93206/Show/Rapha%C3%ABl-Varane,	154,Raphaël Varane,https://www.whoscored.com/Teams/32/Show/England-Man-Utd,"Man Utd, ",31,",  D(C)  ",22(2),1917	,-	,-	,1	,0.3	,86.5	,1.8	,-	,6.64
https://www.whoscored.com/Players/229562/Show/Rico-Henry,	155,Rico Henry,https://www.whoscored.com/Teams/189/Show/England-Brentford,"Brentford, ",26,",  D(L),M(L)  ",37,3244	,-	,2	,4	,0.6	,75	,1.1	,-	,6.64
